cenario,Di_faixa,P_faixa,B_faixa,oportunidades,p1,probabilidade_media,q_medio,frequencia_p1
centralizada,050_075,acima_075,025_050,12,10,0.861532835384312,0.7230656707686243,0.8333333333333334
centralizada,050_075,acima_075,050_075,20,7,0.38862221124713103,0.06999717593983039,0.35
centralizada,050_075,acima_075,acima_075,112,18,0.1362489314163751,0.0,0.16071428571428573
centralizada,acima_075,025_050,050_075,5,2,0.13891810575648714,0.0,0.4
centralizada,acima_075,025_050,acima_075,327,24,0.06556608060993184,0.0,0.07339449541284404
centralizada,acima_075,050_075,ate_025,12,12,0.9970317172188325,0.9940634344376651,1.0
centralizada,acima_075,050_075,025_050,8,4,0.69651990359325,0.43098538145298204,0.5
centralizada,acima_075,050_075,050_075,10,2,0.24769638221762796,0.0,0.2
centralizada,acima_075,050_075,acima_075,94,7,0.11088236108241985,0.0,0.07446808510638298
centralizada,acima_075,acima_075,ate_025,59,59,0.9999975468542701,0.9999950937085403,1.0
centralizada,acima_075,acima_075,025_050,2,2,0.9902654319511979,0.9805308639023957,1.0
centralizada,acima_075,acima_075,050_075,3,3,0.7787299106033109,0.557459821206622,1.0
centralizada,acima_075,acima_075,acima_075,2,0,0.19385960957921225,0.0,0.0
