desenho,ponto,observavel,fracao_entre,razao_cluster_iid
alternativa,0,taxa_omissao,0.07499999999999993,0.5249999999999996
alternativa,0,atraso_relativo,0.03544795201907492,0.24813566413352445
alternativa,0,retrabalho_sobre_plano,0.045023551744654014,0.3151648622125781
alternativa,0,E_total,0.3407139419333615,2.3849975935335306
alternativa,57,taxa_omissao,0.2307692307692304,1.6153846153846128
alternativa,57,atraso_relativo,0.2378181561264376,1.6647270928850633
alternativa,57,retrabalho_sobre_plano,0.3359208648441228,2.3514460539088593
alternativa,57,E_total,0.08053519768987306,0.5637463838291115
alternativa,114,taxa_omissao,0.035971223021582684,0.2517985611510788
alternativa,114,atraso_relativo,0.05356604847137989,0.3749623392996592
alternativa,114,retrabalho_sobre_plano,0.012774425307376928,0.08942097715163849
alternativa,114,E_total,0.03868661217117609,0.27080628519823263
alternativa,171,taxa_omissao,0.08960573476702514,0.627240143369176
alternativa,171,atraso_relativo,0.03180932526120649,0.22266527682844545
alternativa,171,retrabalho_sobre_plano,0.002613544844007407,0.01829481390805185
alternativa,171,E_total,0.06267573393451079,0.4387301375415755
alternativa,228,taxa_omissao,0.21739130434782603,1.5217391304347823
alternativa,228,atraso_relativo,0.003152834076705067,0.02206983853693547
alternativa,228,retrabalho_sobre_plano,0.15025198218897687,1.051763875322838
alternativa,228,E_total,0.1658340595144561,1.1608384166011927
alternativa,285,taxa_omissao,0.08960573476702519,0.6272401433691763
alternativa,285,atraso_relativo,0.09292300390180341,0.6504610273126239
alternativa,285,retrabalho_sobre_plano,0.35562760225856277,2.4893932158099394
alternativa,285,E_total,0.20677627724314893,1.4474339407020425
alternativa,342,taxa_omissao,0.0,0.0
alternativa,342,atraso_relativo,0.0025089884095329668,0.017562918866730767
alternativa,342,retrabalho_sobre_plano,0.4261952940794156,2.983367058555909
alternativa,342,E_total,0.22184833412164864,1.5529383388515403
alternativa,399,taxa_omissao,0.0018148820326679004,0.012704174228675301
alternativa,399,atraso_relativo,0.01380085620223634,0.09660599341565439
alternativa,399,retrabalho_sobre_plano,0.01813851086416552,0.12696957604915865
alternativa,399,E_total,0.03833492327014859,0.26834446289104014
legado,0,taxa_omissao,0.003134796238244512,0.021943573667711585
legado,0,atraso_relativo,0.019481386528883538,0.13636970570218476
legado,0,retrabalho_sobre_plano,0.08800455694494637,0.6160318986146246
legado,0,E_total,0.1132626085209505,0.7928382596466536
legado,57,taxa_omissao,8.700671748761162e-31,6.0904702241328125e-30
legado,57,atraso_relativo,0.001392552987593229,0.009747870913152603
legado,57,retrabalho_sobre_plano,0.1225837765956272,0.8580864361693904
legado,57,E_total,0.004603948350631974,0.03222763845442382
legado,114,taxa_omissao,0.08411214953271005,0.5887850467289704
legado,114,atraso_relativo,0.08411125071715811,0.5887787550201067
legado,114,retrabalho_sobre_plano,0.23354710844875465,1.6348297591412824
legado,114,E_total,0.4285305400869172,2.999713780608421
legado,171,taxa_omissao,0.08038585209003188,0.5627009646302231
legado,171,atraso_relativo,0.4246785334271115,2.9727497339897804
legado,171,retrabalho_sobre_plano,0.19825686591817407,1.3877980614272185
legado,171,E_total,0.13120715854319592,0.9184501098023714
legado,228,taxa_omissao,0.5754475703324808,4.028132992327365
legado,228,atraso_relativo,0.17593384262442158,1.2315368983709511
legado,228,retrabalho_sobre_plano,0.010195680355291684,0.07136976248704179
legado,228,E_total,0.009287893129269538,0.06501525190488676
legado,285,taxa_omissao,0.008333333333333392,0.058333333333333744
legado,285,atraso_relativo,0.0924882373698436,0.6474176615889052
legado,285,retrabalho_sobre_plano,0.5220937552193908,3.6546562865357357
legado,285,E_total,0.4256140162539349,2.9792981137775443
legado,342,taxa_omissao,0.0865384615384616,0.6057692307692313
legado,342,atraso_relativo,0.12761426436060264,0.8932998505242185
legado,342,retrabalho_sobre_plano,0.028509252401378523,0.19956476680964966
legado,342,E_total,0.031117950051095102,0.2178256503576657
legado,399,taxa_omissao,0.019607843137254898,0.13725490196078427
legado,399,atraso_relativo,1.680900667996267e-05,0.00011766304675973867
legado,399,retrabalho_sobre_plano,0.26879834790031426,1.8815884353021997
legado,399,E_total,0.39058210837472357,2.734074758623065
