onda,nroy,pontos,fracao_condicional,volume_caixa_amostrada_sobre_prior,volume_caixa_nroy_sobre_prior
onda1,40,400,0.1,1.0,0.17361125111539089
onda2,115,400,0.2875,0.17361125111539089,0.14798721439054113
