,media_taxa_omissao,media_atraso_relativo,media_retrabalho_sobre_plano,media_E_total
risco.F_ancora,0.949551302707636,0.011329608841415465,0.7798065150402097,-0.7749688432713879
retrabalho.f_retrabalho,0.021980278014651418,-0.013149594139070356,0.5695481636592734,-0.5675486350103267
agentes.tau_sat,-0.052740880108423004,-0.12298966353810496,-0.09321129344520623,0.029065513213389342
agentes.k_heuristico,0.038023267538598374,0.08981084655162373,0.08020607872791458,-0.04538442745490727
fuzzy.mu_minimo,-0.025006559542117435,-0.9770376733242161,-0.07652132954620337,-0.2212391200994177
