arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j6019_1.sm,5,centralizada,False,,0.25,0.25
j6019_1.sm,6,adaptativa,False,,0.8879663035258464,0.8708448837625542
j6019_1.sm,6,centralizada,False,,0.25,0.25
j6019_1.sm,7,adaptativa,True,19.0,0.9747778556184961,0.98
j6019_1.sm,7,centralizada,False,,0.25,0.25
j6019_1.sm,8,adaptativa,True,1.0,0.9716508767452552,0.9687679930188534
j6019_1.sm,8,centralizada,False,,0.25,0.25
j6019_1.sm,9,adaptativa,True,7.0,0.9563339840453216,0.95486487344731
j6019_1.sm,9,centralizada,False,,0.25,0.25
j6019_1.sm,10,adaptativa,True,1.0,0.9868536748940504,0.9933333333333332
j6019_1.sm,10,centralizada,False,,0.25,0.25
j6019_1.sm,11,adaptativa,True,1.0,0.9884068477027774,0.9916666666666668
j6019_1.sm,11,centralizada,False,,0.25,0.25
j6021_1.sm,0,adaptativa,True,11.0,0.973361591999325,0.9725666334538512
j6021_1.sm,0,centralizada,False,,0.25,0.25
j6021_1.sm,1,adaptativa,True,24.0,0.9566529463845113,0.96
j6021_1.sm,1,centralizada,False,,0.25,0.25
j6021_1.sm,2,adaptativa,True,29.0,0.9367370528021658,0.9383333333333334
j6021_1.sm,2,centralizada,False,,0.25,0.25
j6021_1.sm,3,adaptativa,False,,0.8817539230862639,0.8816666666666667
j6021_1.sm,3,centralizada,False,,0.25,0.25
j6021_1.sm,4,adaptativa,False,,0.9055529270202974,0.9083333333333332
j6021_1.sm,4,centralizada,False,,0.25,0.25
j6021_1.sm,5,adaptativa,True,1.0,0.98051990384055,0.9740517913467664
j6021_1.sm,5,centralizada,False,,0.25,0.25
j6021_1.sm,6,adaptativa,True,23.0,0.9400404816588424,0.9566666666666668
j6021_1.sm,6,centralizada,False,,0.25,0.25
j6021_1.sm,7,adaptativa,True,20.0,0.9814683603736373,0.9816666666666666
j6021_1.sm,7,centralizada,False,,0.25,0.25
