unidade,cenario,metrica,N,media_pool,media_por_execucao,min,q05,q50,q95,max
periodo,adaptativa,mu_cog,29637,0.788658306452984,0.7924010920871258,0.5499999999999999,0.5864520674986949,0.7662071775133877,0.9903740794195751,1.0
periodo,adaptativa,mu_rede,29637,0.8963621275304035,0.8904991278757382,0.7257905851971813,0.7654850746268657,0.9384676430851222,0.9988466471822148,1.0
periodo,centralizada,mu_cog,44494,0.74136374615362,0.7406457765337465,0.5499999999999999,0.5546504382381122,0.7311275464036051,0.9782019908472211,1.0
periodo,centralizada,mu_rede,44494,0.7226272424359009,0.7191589265751018,0.5499999999999999,0.5499999999999999,0.7179104477611941,0.832089552238806,0.832089552238806
tarefa_executada,adaptativa,mu_cog,11520,0.8095965562202536,0.8095965562202534,0.55,0.55,0.8497007150439222,1.0,1.0
tarefa_executada,adaptativa,mu_rede,11520,0.9167568918125794,0.9167568918125794,0.6693572041779939,0.7947255404907367,0.9095654972839398,1.0,1.0
tarefa_executada,centralizada,mu_cog,11520,0.752021317793605,0.7520213177936051,0.55,0.55,0.7712332863439562,1.0,1.0
tarefa_executada,centralizada,mu_rede,11520,0.7278053345202864,0.7278053345202865,0.669357204177994,0.669357204177994,0.7179104477611941,0.8091499426152828,0.8320895522388061
