etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,1.0,0.6,adaptativa,atraso_relativo,0,0,1.688140476760244,0.6500011016339513,2.7262798518865363,4
grade,ativo,1.0,0.6,centralizada,atraso_relativo,0,0,2.7946730904413633,1.71953218068009,3.8698140002026364,4
grade,ativo,1.0,0.6,adaptativa,taxa_omissao,0,0,0.06770833333333334,0.04268026801662991,0.09273639865003677,4
grade,ativo,1.0,0.6,centralizada,taxa_omissao,0,0,0.2520833333333333,0.15981614503216895,0.3443505216344977,4
grade,ativo,1.0,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.01931053294496521,0.014013357283216982,0.024607708606713435,4
grade,ativo,1.0,0.6,centralizada,divida_latente_sobre_plano,0,0,0.07912754226642636,0.05049219210926599,0.10776289242358673,4
grade,ativo,1.0,0.6,adaptativa,taxa_falha_efetiva,0,0,0.24583333333333332,0.20642281445645178,0.28524385221021487,4
grade,ativo,1.0,0.6,centralizada,taxa_falha_efetiva,0,0,0.2916666666666667,0.18205263633282825,0.4012806970005051,4
grade,ativo,1.0,0.6,adaptativa,fracao_porta1,0,0,0.5666666666666667,0.5346402580663938,0.5986930752669395,4
grade,ativo,1.0,0.6,centralizada,fracao_porta1,0,0,0.6229166666666667,0.5596695773538505,0.6861637559794829,4
grade,ativo,1.4,0.01,adaptativa,atraso_relativo,0,0,2.580469587402721,1.8741582061838615,3.2867809686215805,4
grade,ativo,1.4,0.01,centralizada,atraso_relativo,11,0,177.08501647385373,80.7030279407795,273.46700500692793,4
grade,ativo,1.4,0.01,adaptativa,taxa_omissao,0,0,0.07395833333333333,0.050752995690635586,0.09716367097603108,4
grade,ativo,1.4,0.01,centralizada,taxa_omissao,11,0,0.11979166666666667,-0.027009209860901814,0.26659254319423514,4
grade,ativo,1.4,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.023734870931733175,0.013391487170056235,0.034078254693410116,4
grade,ativo,1.4,0.01,centralizada,divida_latente_sobre_plano,11,0,0.04499540445161005,-0.017055767998532465,0.10704657690175257,4
grade,ativo,1.4,0.01,adaptativa,taxa_falha_efetiva,0,0,0.29791666666666666,0.25511957798414836,0.34071375534918497,4
grade,ativo,1.4,0.01,centralizada,taxa_falha_efetiva,11,0,0.1375,-0.032399590944950624,0.3073995909449506,4
grade,ativo,1.4,0.01,adaptativa,fracao_porta1,0,0,0.19375,0.09096568343046799,0.296534316569532,4
grade,ativo,1.4,0.01,centralizada,fracao_porta1,11,8,,,,4
grade,ativo,1.4,0.25,adaptativa,atraso_relativo,0,0,2.1753653568597535,1.350648536004626,3.000082177714881,4
grade,ativo,1.4,0.25,centralizada,atraso_relativo,0,0,3.3736151462237576,2.6545105847772557,4.09271970767026,4
grade,ativo,1.4,0.25,adaptativa,taxa_omissao,0,0,0.06249999999999999,0.015306627452211105,0.10969337254778888,4
grade,ativo,1.4,0.25,centralizada,taxa_omissao,0,0,0.29166666666666663,0.20156888409535434,0.3817644492379789,4
grade,ativo,1.4,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.018663401016433698,0.009740001357496966,0.027586800675370428,4
grade,ativo,1.4,0.25,centralizada,divida_latente_sobre_plano,0,0,0.0948008527256797,0.05275418610620598,0.13684751934515343,4
grade,ativo,1.4,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2677083333333333,0.18325589361706923,0.3521607730495974,4
grade,ativo,1.4,0.25,centralizada,taxa_falha_efetiva,0,0,0.35,0.24901337923900058,0.4509866207609994,4
grade,ativo,1.4,0.25,adaptativa,fracao_porta1,0,0,0.2802083333333334,0.2005781421458252,0.3598385245208416,4
grade,ativo,1.4,0.25,centralizada,fracao_porta1,0,0,0.509375,0.4480391417881641,0.5707108582118359,4
grade,ativo,1.4,0.6,adaptativa,atraso_relativo,0,0,1.8219741796413453,0.7388173383577805,2.90513102092491,4
grade,ativo,1.4,0.6,centralizada,atraso_relativo,0,0,2.7753122927915124,1.2883829814445436,4.262241604138481,4
grade,ativo,1.4,0.6,adaptativa,taxa_omissao,0,0,0.071875,0.052831497739636524,0.09091850226036347,4
grade,ativo,1.4,0.6,centralizada,taxa_omissao,0,0,0.2583333333333333,0.24895696098654757,0.26770970568011904,4
grade,ativo,1.4,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.021679936764865796,0.017255807897125337,0.026104065632606255,4
grade,ativo,1.4,0.6,centralizada,divida_latente_sobre_plano,0,0,0.08867539560799823,0.061297567220817833,0.11605322399517862,4
grade,ativo,1.4,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2708333333333333,0.17234422289361168,0.36932244377305495,4
grade,ativo,1.4,0.6,centralizada,taxa_falha_efetiva,0,0,0.2875,0.25457126249881407,0.3204287375011859,4
