risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,ponto,media_taxa_omissao,var_media_taxa_omissao,media_atraso_relativo,var_media_atraso_relativo,media_retrabalho_sobre_plano,var_media_retrabalho_sobre_plano,media_E_total,var_media_E_total
0.14968796615122526,0.43389155040178545,1.1048114094662704,0.07187237495971936,0.5907660208252148,0,0.08958333333333335,0.00019779265873015874,1.6488277919863599,0.0008227707944440232,0.17982747457978987,0.0001946934165582936,0.8665888471468802,5.6558894977991954e-05
0.21179151612573838,0.41617165859714306,1.3054064350725436,0.10756392071458881,0.6353501861690453,1,0.10625000000000001,0.00029699900793650794,1.562020460358056,0.00020746787910464238,0.22249199260701538,0.00012540818088384705,0.843608965258126,3.496858761686561e-05
0.2172457183499898,0.5567735508860834,1.2019328355130323,0.07809312330921406,0.6268910524663637,2,0.10416666666666667,0.00038442460317460316,1.5839727195225917,0.00019490104503938776,0.27641262097556896,0.00013815816547559618,0.8189669601073568,2.6706068893909046e-05
0.161094654483536,0.35279034254814623,0.9694955035828345,0.10238947648599545,0.5891286496960167,3,0.07916666666666666,0.00012648809523809525,1.6574381926683717,0.0004543687911429821,0.14081831286206012,6.085507105909839e-05,0.8880438897595935,1.858831463962266e-05
0.14750891086714993,0.4974374318762417,0.8557319882190524,0.15187667320079737,0.6162446335604368,4,0.06458333333333334,0.00010354662698412697,1.6704390451832904,0.000396057019864916,0.1777394144300516,0.00017729103156719387,0.8740553475271857,5.802632284249465e-05
0.15372962861148198,0.5370159952379945,0.894952953364384,0.06119760371609233,0.6036803769931466,5,0.075,0.0001984126984126984,1.5908780903665813,0.0004521641118732972,0.20721396560571728,0.0001481979462809794,0.8532542858363548,6.267989686202471e-05
0.18448585586973842,0.346161314733757,1.260113010893801,0.12051458913368837,0.6628958521502801,6,0.09583333333333334,0.00019593253968253969,1.5147058823529411,0.0004457941299504346,0.15692350157188356,3.641419671578045e-05,0.8699493937658981,1.3832512352533921e-05
0.22086533022544397,0.3895232802339355,0.9524782265354512,0.10251873872980262,0.6371120331197355,7,0.11666666666666667,0.00023809523809523807,1.5828431372549019,0.0014187566961252045,0.21630516258319893,9.89967537745606e-05,0.8424536896627839,6.087019539148032e-06
0.18165553542468194,0.412022676950008,1.366828504027783,0.11648114562698192,0.5977095036029395,8,0.09791666666666667,0.0004309275793650793,1.6328644501278773,0.0005689805111414077,0.17421897871612282,0.00010207403083078615,0.8670420689702747,2.3251494492560117e-05
0.11744579733009206,0.5307131817714983,0.9161198815767214,0.13857618522810733,0.6267567659998851,9,0.06666666666666668,0.00021825396825396823,1.566091219096334,0.0006668268052244805,0.14770132087427343,7.592727247804019e-05,0.8834392844074509,2.734384129825759e-05
0.19318893626849715,0.7057145167408057,0.975067146500431,0.0998637106340576,0.593227266355002,10,0.12291666666666667,0.0002573164682539682,1.6247442455242966,0.0014053127923025104,0.36750214791797997,0.00023954905073579204,0.7834133958243357,3.810894873207493e-05
0.15943966157943879,0.3434159489929921,1.1200228864468351,0.08141538650378394,0.6046373243886635,11,0.075,0.00036706349206349205,1.606841432225064,0.0015313471194475048,0.13712857041793608,5.548822975135527e-05,0.883992295128356,2.7260538292123583e-05
0.13370497903344078,0.371624695492793,1.3459866869522563,0.12463487238797905,0.6703267013943399,12,0.075,0.00017857142857142857,1.5085890878090367,0.00027458065215781973,0.12478754093727557,0.00010587369818892632,0.8875990955261772,3.893691029052448e-05
0.1609888615121328,0.646012077353274,1.2950289620198796,0.13932795844631796,0.6278433901607737,13,0.08333333333333333,0.0001488095238095238,1.5818201193520887,0.00026223211216359454,0.24535635219252577,0.00020240171417833865,0.8346333681974714,5.689104565318423e-05
0.1543328910348776,0.3560243132356915,0.8191586648091235,0.15661745658239104,0.6043818558146526,14,0.07083333333333333,0.00023561507936507937,1.6543691389599318,0.0008790387517919064,0.14154941954738595,4.056527184193954e-05,0.8934887843989694,2.1377878038063767e-05
0.2390241507477118,0.6784145433903874,1.1145471827255433,0.12700358124162353,0.6695498995669403,15,0.12083333333333335,0.00014632936507936504,1.5109761295822677,0.00040514594399233464,0.3872537773041224,0.00042028236985789194,0.7632591723256203,7.272992583738412e-05
0.1664562805303846,0.779229599967947,1.0577077017674463,0.13119596469682535,0.6015808706054747,16,0.07083333333333333,0.00015625,1.6625106564364875,0.0003444124323067744,0.3345347485507036,0.0009670640001757735,0.7956520243838849,0.0001419931079605222
0.19729662567217512,0.702533366199634,1.0174043874394938,0.13786712370093968,0.6691802097594041,17,0.11875000000000002,0.00033172123015873017,1.552067348678602,0.0010598173903906794,0.35513135391526107,0.0003705100487552916,0.7742600857595894,5.682938704142209e-05
0.19875494922862208,0.3680520565802848,1.3301353157249782,0.15229241237466834,0.655817332871464,18,0.12083333333333333,0.00015624999999999998,1.5228687127024725,0.0006673900610320119,0.18516186811112562,0.00012111393796003969,0.8573658882537339,2.3876840454389823e-05
0.1436251166280825,0.6486113186433782,1.3676533702106886,0.11263377714335049,0.6645119381564979,19,0.07708333333333334,0.0003962053571428571,1.5312233589087807,0.00038294639735875083,0.24565218533048636,0.0003229315964958373,0.8251857185149256,7.966166870344798e-05
0.16153546559740678,0.48482861250734327,1.0145555477320685,0.08325396811393886,0.5895435873457457,20,0.07083333333333333,0.00015624999999999998,1.7015558397271953,0.0004359931544432888,0.19177887322953574,8.758232629453469e-05,0.8619116790629932,2.3763002934571425e-05
0.20195263473775998,0.39258436919224177,0.8818372794769652,0.1502186733753984,0.6541905408223889,21,0.11041666666666666,0.00016803075396825396,1.5603367433930093,0.00041255236851403174,0.19739073537182966,0.00020794787392058224,0.8505134237615288,5.181833940723972e-05
0.1402357763567082,0.7460925328583701,1.0843703534947753,0.13438756803807111,0.6309599096623402,22,0.08541666666666667,0.0001432291666666667,1.582843137254902,0.0002436306540111133,0.2907581374099975,0.00046630764043171884,0.8153655866962162,8.637534458342592e-05
0.16189403169619787,0.7541975583191409,1.1720499665650177,0.1078291045503105,0.5896268964706874,23,0.07916666666666668,0.00016617063492063494,1.6811807331628303,0.0002120047488953691,0.279783343871154,0.00027783225941932466,0.8206701797426176,4.5264905296410474e-05
0.1353986469892861,0.6014060469351359,1.2560072580594444,0.09818356525132367,0.6250358202937282,24,0.08541666666666667,0.00022259424603174603,1.582843137254902,0.00029306219133192385,0.20044658888194994,0.0002621012879276805,0.8561766335978689,6.674659861320745e-05
0.15468682877736184,0.6677978128453914,0.9072787009816081,0.10453045475831797,0.6618787816669606,25,0.10416666666666666,0.00014632936507936507,1.5039641943734017,0.0003580196673354094,0.2511649210704868,0.00025411332338975967,0.8223429177142707,8.367163686064104e-05
0.2416434944696146,0.6847971905134553,0.8384947719963387,0.1556453267246903,0.6588533544409136,26,0.11458333333333333,0.00022259424603174598,1.5796888320545608,0.0005600366188953062,0.44348583847997974,0.0001812111490715427,0.7492398610193682,2.9252281102421895e-05
0.18676406180119703,0.6203733440228218,1.09566673657326,0.11469784240370509,0.6093336032995302,27,0.12291666666666667,0.0008227926587301588,1.6229113384484228,0.0008670982478020298,0.3091050976655705,0.0005211767001566408,0.8060986099552583,8.305831324777485e-05
