etapa,canal,tau_sat,s_transicao,metrica,censuradas,pares_indefinidos,media_observado_censurado,ic95_inferior_observado_censurado,ic95_superior_observado_censurado,n_instancias_observado_censurado,N_pares_previstos,N_pares_retidos,N_pares_excluidos,media_pares_completos,ic95_inferior_pares_completos,ic95_superior_pares_completos,n_instancias_pares_completos
grade,ativo,0.7,0.01,atraso_relativo,0,0,-1.4162901548236888,-2.3248372894007914,-0.5077430202465862,4,16,16,0,-1.4162901548236888,-2.3248372894007914,-0.5077430202465862,4
grade,ativo,0.7,0.01,taxa_omissao,0,0,-0.3052083333333333,-0.3465690128117846,-0.263847653854882,4,16,16,0,-0.3052083333333333,-0.3465690128117846,-0.263847653854882,4
grade,ativo,0.7,0.01,divida_latente_sobre_plano,0,0,-0.0973361482489453,-0.1399772728223113,-0.0546950236755793,4,16,16,0,-0.0973361482489453,-0.1399772728223113,-0.0546950236755793,4
grade,ativo,0.7,0.01,taxa_falha_efetiva,0,0,-0.10625,-0.1988342586112396,-0.0136657413887604,4,16,16,0,-0.10625,-0.1988342586112396,-0.0136657413887603,4
grade,ativo,0.7,0.01,fracao_porta1,0,0,-0.3125,-0.5277485095632358,-0.0972514904367641,4,16,16,0,-0.3125,-0.5277485095632359,-0.0972514904367641,4
grade,ativo,0.7,0.25,atraso_relativo,0,0,-1.2474464903556135,-1.9652925366646163,-0.5296004440466107,4,16,16,0,-1.2474464903556135,-1.9652925366646163,-0.5296004440466107,4
grade,ativo,0.7,0.25,taxa_omissao,0,0,-0.2208333333333333,-0.2987193316167488,-0.1429473350499178,4,16,16,0,-0.2208333333333333,-0.2987193316167489,-0.1429473350499178,4
grade,ativo,0.7,0.25,divida_latente_sobre_plano,0,0,-0.072188554649634,-0.1038771497989942,-0.0404999595002738,4,16,16,0,-0.072188554649634,-0.1038771497989942,-0.0404999595002738,4
grade,ativo,0.7,0.25,taxa_falha_efetiva,0,0,-0.053125,-0.1652991003705153,0.0590491003705153,4,16,16,0,-0.0531249999999999,-0.1652991003705153,0.0590491003705153,4
grade,ativo,0.7,0.25,fracao_porta1,0,0,-0.1145833333333333,-0.2066915771783189,-0.0224750894883476,4,16,16,0,-0.1145833333333333,-0.206691577178319,-0.0224750894883476,4
grade,ativo,0.7,0.6,atraso_relativo,0,0,-1.1350008475294515,-1.3778804972442946,-0.8921211978146084,4,16,16,0,-1.1350008475294515,-1.3778804972442946,-0.8921211978146084,4
grade,ativo,0.7,0.6,taxa_omissao,0,0,-0.2052083333333333,-0.2797047770275728,-0.1307118896390938,4,16,16,0,-0.2052083333333333,-0.2797047770275728,-0.1307118896390938,4
grade,ativo,0.7,0.6,divida_latente_sobre_plano,0,0,-0.0635917738568001,-0.0991851453615236,-0.0279984023520767,4,16,16,0,-0.0635917738568001,-0.0991851453615236,-0.0279984023520767,4
grade,ativo,0.7,0.6,taxa_falha_efetiva,0,0,-0.0468749999999999,-0.1320186221052991,0.0382686221052991,4,16,16,0,-0.046875,-0.1320186221052991,0.0382686221052991,4
grade,ativo,0.7,0.6,fracao_porta1,0,0,-0.0406249999999999,-0.0995234972187791,0.0182734972187792,4,16,16,0,-0.0406249999999999,-0.0995234972187791,0.0182734972187792,4
grade,ativo,1.0,0.01,atraso_relativo,7,0,-112.29150638389096,-235.62666562714983,11.043652859367969,4,16,9,7,-1.7935854795770323,-4.977522230593987,1.390351271439922,4
grade,ativo,1.0,0.01,taxa_omissao,7,0,-0.1229166666666666,-0.314502364530507,0.0686690311971736,4,16,9,7,-0.265625,-0.3024901647680694,-0.2287598352319305,4
grade,ativo,1.0,0.01,divida_latente_sobre_plano,7,0,-0.0529236551673999,-0.1242195385892466,0.0183722282544467,4,16,9,7,-0.10837751584409,-0.1666871850700861,-0.0500678466180939,4
grade,ativo,1.0,0.01,taxa_falha_efetiva,7,0,0.0760416666666666,-0.1625420269778403,0.3146253603111737,4,16,9,7,-0.0625,-0.1620250875145258,0.0370250875145258,4
grade,ativo,1.0,0.01,fracao_porta1,7,4,-0.1614583333333333,-0.5255456203091899,0.2026289536425233,4,16,9,7,-0.26875,-0.4570182797387323,-0.0804817202612676,4
grade,ativo,1.0,0.25,atraso_relativo,0,0,-1.050749736393413,-1.8918157843693877,-0.2096836884174387,4,16,16,0,-1.050749736393413,-1.8918157843693877,-0.2096836884174387,4
grade,ativo,1.0,0.25,taxa_omissao,0,0,-0.2072916666666666,-0.244552179628408,-0.1700311537049252,4,16,16,0,-0.2072916666666666,-0.244552179628408,-0.1700311537049252,4
grade,ativo,1.0,0.25,divida_latente_sobre_plano,0,0,-0.0679848182299489,-0.0894340912239842,-0.0465355452359137,4,16,16,0,-0.0679848182299489,-0.0894340912239842,-0.0465355452359136,4
grade,ativo,1.0,0.25,taxa_falha_efetiva,0,0,-0.0479166666666666,-0.1141070375137983,0.0182737041804649,4,16,16,0,-0.0479166666666666,-0.1141070375137982,0.0182737041804649,4
grade,ativo,1.0,0.25,fracao_porta1,0,0,-0.1083333333333333,-0.117709705680119,-0.0989569609865476,4,16,16,0,-0.1083333333333333,-0.117709705680119,-0.0989569609865476,4
grade,ativo,1.0,0.6,atraso_relativo,0,0,-1.106532613681119,-1.4213399556197148,-0.7917252717425238,4,16,16,0,-1.106532613681119,-1.4213399556197148,-0.7917252717425238,4
grade,ativo,1.0,0.6,taxa_omissao,0,0,-0.184375,-0.2906462984344602,-0.0781037015655397,4,16,16,0,-0.1843749999999999,-0.2906462984344602,-0.0781037015655397,4
grade,ativo,1.0,0.6,divida_latente_sobre_plano,0,0,-0.0598170093214611,-0.087612246318002,-0.0320217723249203,4,16,16,0,-0.0598170093214611,-0.087612246318002,-0.0320217723249203,4
grade,ativo,1.0,0.6,taxa_falha_efetiva,0,0,-0.0458333333333333,-0.1277537135210398,0.0360870468543731,4,16,16,0,-0.0458333333333333,-0.1277537135210398,0.0360870468543731,4
grade,ativo,1.0,0.6,fracao_porta1,0,0,-0.0562499999999999,-0.1436231678099565,0.0311231678099566,4,16,16,0,-0.0562499999999999,-0.1436231678099565,0.0311231678099566,4
