modelo,metrica,termo,parcela,pct_contraste
mvp,atraso_relativo,A,-0.32242272723686355,31.50440695133278
mvp,atraso_relativo,B,0.0,-0.0
mvp,atraso_relativo,C,-0.2682503391456753,26.211141881043407
mvp,atraso_relativo,D,-0.5890033438769384,57.55239774881876
mvp,atraso_relativo,AB,0.0035809721088239693,-0.34990214109467416
mvp,atraso_relativo,AC,-0.11918591131286843,11.645833670117154
mvp,atraso_relativo,AD,-0.10427270992629059,10.18864245578699
mvp,atraso_relativo,BC,-1.3897564158186127e-16,1.3579517815755681e-14
mvp,atraso_relativo,BD,7.573471645272533e-16,-7.400152426964713e-14
mvp,atraso_relativo,CD,0.2664470950901897,-26.03494420712802
mvp,atraso_relativo,ABC,-0.013476432185992794,1.3168023466523615
mvp,atraso_relativo,ABD,-0.003110511817623284,0.3039327623370146
mvp,atraso_relativo,ACD,0.12107383048006941,-11.830305075853468
mvp,atraso_relativo,BCD,-1.1828950105835116e-15,1.1558244083316986e-13
mvp,atraso_relativo,ABCD,0.005199044267655852,-0.5080063920118624
mvp,E_total,A,-0.04985682244448729,98.05731601826177
mvp,E_total,B,0.0,-0.0
mvp,E_total,C,0.0028539485646687595,-5.613084079258896
mvp,E_total,D,0.005272041995233768,-10.368937742949678
mvp,E_total,AB,-9.540140275333852e-05,0.1876334078206774
mvp,E_total,AC,-0.0059419730623071505,11.686543621816307
mvp,E_total,AD,-0.004831917283647419,9.50331001507909
mvp,E_total,BC,-7.351992885423207e-17,1.4459739999127603e-13
mvp,E_total,BD,2.3026602596799023e-16,-4.5288222091877624e-13
mvp,E_total,CD,-0.004047331927648125,7.960204569837666
mvp,E_total,ABC,0.0005658799601831349,-1.1129604207300314
mvp,E_total,ABD,0.0003581975927433135,-0.7044952491250354
mvp,E_total,ACD,0.0053430297992005365,-10.508555014683399
mvp,E_total,BCD,-3.412011386110816e-16,6.71066992121897e-13
mvp,E_total,ABCD,-0.0004642235875454175,0.9130248739328846
mvp,TW,A,-136.40104166666666,103.62442131919441
mvp,TW,B,0.0,-0.0
mvp,TW,C,2.0937500000002363,-1.5906303169392055
mvp,TW,D,1.8020833333332145,-1.369049974280763
mvp,TW,AB,0.140624999999413,-0.10683337949545879
mvp,TW,AC,0.8229166666664908,-0.6251731096425681
mvp,TW,AD,1.6145833333333608,-1.2266054682863345
mvp,TW,BC,-8.674846142346185e-14,6.590315591067415e-14
