modelo,metrica,termo,DEPOIS_parcela,DEPOIS_pct,ANTES_parcela_publicada,ANTES_pct_publicado,delta_parcela,delta_pct
mvp,atraso_relativo,A,-0.32242272723686355,31.50440695133278,-0.5967631177136437,52.55976151279914,0.2743403904767801,-21.055354561466363
mvp,atraso_relativo,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,atraso_relativo,C,-0.2682503391456753,26.211141881043407,-0.3161998532438221,27.84922255341554,0.047949514098146795,-1.6380806723721335
mvp,atraso_relativo,D,-0.5890033438769384,57.55239774881876,-0.4365124252325411,38.445722073938725,-0.15249091864439734,19.106675674880037
mvp,atraso_relativo,AB,0.0035809721088239693,-0.34990214109467416,0.0,-0.0,0.0035809721088239693,-0.34990214109467416
mvp,atraso_relativo,AC,-0.11918591131286843,11.645833670117154,0.0252616375462101,-2.224912373838585,-0.14444754885907854,13.870746043955739
mvp,atraso_relativo,AD,-0.10427270992629059,10.18864245578699,-0.1062305695199935,9.356230694570009,0.0019578595937029125,0.8324117612169815
mvp,atraso_relativo,BC,-1.3897564158186127e-16,1.3579517815755681e-14,0.0,-0.0,-1.3897564158186127e-16,1.3579517815755681e-14
mvp,atraso_relativo,BD,7.573471645272533e-16,-7.400152426964713e-14,0.0,-0.0,7.573471645272533e-16,-7.400152426964713e-14
mvp,atraso_relativo,CD,0.2664470950901897,-26.03494420712802,0.296959186377781,-26.15460565802021,-0.030512091287591303,0.11966145089218827
mvp,atraso_relativo,ABC,-0.013476432185992794,1.3168023466523615,0.0,-0.0,-0.013476432185992794,1.3168023466523615
mvp,atraso_relativo,ABD,-0.003110511817623284,0.3039327623370146,0.0,-0.0,-0.003110511817623284,0.3039327623370146
mvp,atraso_relativo,ACD,0.12107383048006941,-11.830305075853468,-0.0019140695827911,0.1685811971353806,0.1229879000628605,-11.99888627298885
mvp,atraso_relativo,BCD,-1.1828950105835116e-15,1.1558244083316986e-13,0.0,-0.0,-1.1828950105835116e-15,1.1558244083316986e-13
mvp,atraso_relativo,ABCD,0.005199044267655852,-0.5080063920118624,1.3877787807814457e-17,-1.222282671051343e-15,0.005199044267655838,-0.5080063920118612
mvp,E_total,A,-0.04985682244448729,98.05731601826177,0.1029490097953219,98.39240130627078,-0.1528058322398092,-0.3350852880090116
mvp,E_total,B,0.0,-0.0,0.0,0.0,0.0,-0.0
mvp,E_total,C,0.0028539485646687595,-5.613084079258896,0.0044849474580656,4.28643996682309,-0.0016309988933968403,-9.899524046081986
mvp,E_total,D,0.005272041995233768,-10.368937742949678,0.0018999282493706,1.81583585055223,0.0033721137458631676,-12.184773593501907
mvp,E_total,AB,-9.540140275333852e-05,0.1876334078206774,0.0,0.0,-9.540140275333852e-05,0.1876334078206774
mvp,E_total,AC,-0.0059419730623071505,11.686543621816307,-0.0020731423959219,-1.981383395431754,-0.0038688306663852506,13.667927017248061
mvp,E_total,AD,-0.004831917283647419,9.50331001507909,-0.002693559924181,-2.574340729740109,-0.002138357359466419,12.0776507448192
mvp,E_total,BC,-7.351992885423207e-17,1.4459739999127603e-13,0.0,0.0,-7.351992885423207e-17,1.4459739999127603e-13
mvp,E_total,BD,2.3026602596799023e-16,-4.5288222091877624e-13,0.0,0.0,2.3026602596799023e-16,-4.5288222091877624e-13
mvp,E_total,CD,-0.004047331927648125,7.960204569837666,-0.0024271034235933,-2.3196778146852663,-0.0016202285040548253,10.279882384522931
mvp,E_total,ABC,0.0005658799601831349,-1.1129604207300314,0.0,0.0,0.0005658799601831349,-1.1129604207300314
mvp,E_total,ABD,0.0003581975927433135,-0.7044952491250354,0.0,0.0,0.0003581975927433135,-0.7044952491250354
mvp,E_total,ACD,0.0053430297992005365,-10.508555014683399,0.0024909775467432,2.3807248162110177,0.0028520522524573366,-12.889279830894417
mvp,E_total,BCD,-3.412011386110816e-16,6.71066992121897e-13,0.0,0.0,-3.412011386110816e-16,6.71066992121897e-13
mvp,E_total,ABCD,-0.0004642235875454175,0.9130248739328846,0.0,0.0,-0.0004642235875454175,0.9130248739328846
mvp,TW,A,-136.40104166666666,103.62442131919441,-147.26041666666669,98.43336582648656,10.859375000000028,5.1910554927078465
mvp,TW,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,TW,C,2.0937500000002363,-1.5906303169392055,0.4166666666666643,-0.2785127419579429,1.677083333333572,-1.3121175749812626
mvp,TW,D,1.8020833333332145,-1.369049974280763,1.374999999999993,-0.9190920484612124,0.42708333333322157,-0.4499579258195505
mvp,TW,AB,0.140624999999413,-0.10683337949545879,0.0,-0.0,0.140624999999413,-0.10683337949545879
mvp,TW,AC,0.8229166666664908,-0.6251731096425681,-1.421875000000007,0.9504247319314904,2.2447916666664978,-1.5755978415740586
mvp,TW,AD,1.6145833333333608,-1.2266054682863345,-2.411458333333332,1.611892494081603,4.026041666666693,-2.8384979623679376
mvp,TW,BC,-8.674846142346185e-14,6.590315591067415e-14,0.0,-0.0,-8.674846142346185e-14,6.590315591067415e-14
mvp,TW,BD,1.5635395820135375e-13,-1.187827324601746e-13,0.0,-0.0,1.5635395820135375e-13,-1.187827324601746e-13
mvp,TW,CD,-2.072916666666872,1.5748031496064554,-0.953125,0.6370978972287982,-1.1197916666668721,0.9377052523776572
mvp,TW,ABC,-0.7604166666665293,0.5776916076444175,0.0,-0.0,-0.7604166666665293,0.5776916076444175
mvp,TW,ABD,-0.4218749999996284,0.3205001384874319,0.0,-0.0,-0.4218749999996284,0.3205001384874319
mvp,TW,ACD,1.0625000000001086,-0.8071855339691405,0.6510416666666785,-0.4351761593092962,0.41145833333343007,-0.3720093746598443
mvp,TW,BCD,-2.0869186008927915e-13,1.5854404754932776e-13,0.0,-0.0,-2.0869186008927915e-13,1.5854404754932776e-13
mvp,TW,ABCD,0.48958333333270404,-0.3719384323185977,0.0,-0.0,0.48958333333270404,-0.3719384323185977
mvp,TL,A,103.66666666666667,100.784849865816,10.385416666666668,99.00695134061569,93.28125,1.7778985252003139
mvp,TL,B,0.0,0.0,0.0,0.0,0.0,0.0
mvp,TL,C,-3.0371643022055433e-15,-2.9527345487035514e-15,0.0,0.0,-3.0371643022055433e-15,-2.9527345487035514e-15
mvp,TL,D,2.0769014562430162e-14,2.0191659304200673e-14,0.0,0.0,2.0769014562430162e-14,2.0191659304200673e-14
mvp,TL,AB,-0.09895833333337084,-0.09620740290651274,0.0,0.0,-0.09895833333337084,-0.09620740290651274
mvp,TL,AC,0.6822916666666685,0.6633247253025488,0.0052083333333335,0.0496524329692179,0.677083333333335,0.6136722923333309
mvp,TL,AD,-0.7343750000000554,-0.7139602005165357,-0.0156249999999997,-0.1489572989076443,-0.7187500000000557,-0.5650029016088914
mvp,TL,BC,7.014932616270878e-14,6.819925375077262e-14,0.0,0.0,7.014932616270878e-14,6.819925375077262e-14
mvp,TL,BD,-2.0769014562430162e-14,-2.0191659304200673e-14,0.0,0.0,-2.0769014562430162e-14,-2.0191659304200673e-14
mvp,TL,CD,-1.7731850260224616e-14,-1.723892475549712e-14,0.0,0.0,-1.7731850260224616e-14,-1.723892475549712e-14
mvp,TL,ABC,0.4843749999999014,0.4709099194894985,0.0,0.0,0.4843749999999014,0.4709099194894985
mvp,TL,ABD,-0.02083333333326587,-0.020254190085508363,0.0,0.0,-0.02083333333326587,-0.020254190085508363
mvp,TL,ACD,-0.7031249999999527,-0.6835789153880749,0.1145833333333332,1.0923535253227394,-0.817708333333286,-1.7759324407108144
mvp,TL,BCD,-5.238604688928561e-14,-5.092977367331428e-14,0.0,0.0,-5.238604688928561e-14,-5.092977367331428e-14
mvp,TL,ABCD,-0.41666666666666907,-0.4050838017114814,-5.551115123125783e-17,-5.292026333863705e-16,-0.416666666666669,-0.40508380171148084
mvp,TU,A,-91.125,99.8516151124301,-120.08854166666666,99.80521166998528,28.963541666666657,0.04640344244481298
mvp,TU,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,TU,C,-1.56249999999992,1.7121333181142833,-3.276041666666667,2.7227079906501603,1.713541666666747,-1.010574672535877
mvp,TU,D,-4.973958333333419,5.450291062664174,-0.0520833333333339,0.0432862955588265,-4.921875000000085,5.407004767105348
mvp,TU,AB,-0.0052083333334695114,0.005707111060530455,0.0,-0.0,-0.0052083333334695114,0.005707111060530455
mvp,TU,AC,3.5729166666665644,-3.9150781874214156,2.921875,-2.428361180850143,0.6510416666665644,-1.4867170065712725
mvp,TU,AD,5.312500000000136,-5.8212532815890095,0.0104166666666668,-0.0086572591117653,5.302083333333469,-5.812596022477244
mvp,TU,BC,-1.028164821799867e-13,1.1266273586666733e-13,0.0,-0.0,-1.028164821799867e-13,1.1266273586666733e-13
mvp,TU,BD,8.851308639224309e-14,-9.698957075282888e-14,0.0,-0.0,8.851308639224309e-14,-9.698957075282888e-14
mvp,TU,CD,4.322916666666645,-4.7369021801164015,0.484375,-0.4025625486970825,3.8385416666666448,-4.3343396314193186
mvp,TU,ABC,-0.28645833333318044,0.3138911083208004,0.0,-0.0,-0.28645833333318044,0.3138911083208004
mvp,TU,ABD,-0.3749999999999787,0.4109119963474256,0.0,-0.0,-0.3749999999999787,0.4109119963474256
mvp,TU,ACD,-6.250000000000035,6.84853327245752,-0.3229166666666661,0.2683750324647212,-5.927083333333369,6.580158239992799
mvp,TU,BCD,-1.9166381444909066e-14,2.1001856166091432e-14,2.6645352591003757e-15,-2.2144869264447762e-15,-2.183091670400944e-14,2.3216343092536208e-14
mvp,TU,ABCD,0.10937499999985092,-0.1198493322678426,-2.6645352591003757e-15,2.2144869264447762e-15,0.10937499999985359,-0.11984933226784482
mvp,TR,A,-22.79131026699318,123.6108032103044,-14.925628250186318,91.2524520713784,-7.865682016806861,32.358351138926
mvp,TR,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,TR,C,-1.462208518463975,7.93042467988509,-1.6575759961244496,10.13410434760932,0.19536747766047458,-2.20367966772423
mvp,TR,D,-0.6927250127995537,3.7570589067900055,-0.6666267539751964,4.075629172652134,-0.026098258824357234,-0.3185702658621281
mvp,TR,AB,0.3237409572397233,-1.7558393654282214,0.0,-0.0,0.3237409572397233,-1.7558393654282214
mvp,TR,AC,3.909426536654433,-21.20314052270094,0.0097950242023023,-0.0598849148307999,3.899631512452131,-21.14325560787014
mvp,TR,AD,2.654674921390771,-14.397877763552415,1.0234581591183094,-6.257228509683595,1.6312167622724618,-8.140649253868819
mvp,TR,BC,-1.4503992764481448e-14,7.866376151135268e-14,0.0,-0.0,-1.4503992764481448e-14,7.866376151135268e-14
mvp,TR,BD,3.1258435885871796e-14,-1.695330510482393e-13,0.0,-0.0,3.1258435885871796e-14,-1.695330510482393e-13
mvp,TR,CD,0.3033838783448719,-1.6454308437710723,1.396911076262401,-8.540448609459446,-1.0935271979175292,6.895017765688374
mvp,TR,ABC,-1.1640853357426577,6.313525710931864,0.0,-0.0,-1.1640853357426577,6.313525710931864
mvp,TR,ABD,-0.10102918844697628,0.5479412541586844,0.0,-0.0,-0.10102918844697628,0.5479412541586844
mvp,TR,ACD,-0.2047170630353885,1.1103021413080596,-1.536746606427022,9.395376442333989,1.3320295433916336,-8.28507430102593
mvp,TR,BCD,-4.135441199994957e-14,2.242895219151442e-13,0.0,-0.0,-4.135441199994957e-14,2.242895219151442e-13
mvp,TR,ABCD,0.7868892411926589,-4.267767407924631,-4.440892098500626e-16,2.7150769574308055e-15,0.7868892411926593,-4.267767407924634
mvp,taxa_omissao,A,-0.04175347222222223,18.295930011411183,-0.0163194444444444,10.64552661381654,-0.025434027777777826,7.650403397594644
mvp,taxa_omissao,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,taxa_omissao,C,-0.21935763888888882,96.12019779383793,-0.1542534722222222,100.6228765571914,-0.06510416666666663,-4.502678763353472
mvp,taxa_omissao,D,-0.0014756944444444795,0.6466337010270218,-0.0015624999999999,1.0192525481313703,8.680555555542037e-05,-0.37261884710434856
mvp,taxa_omissao,AB,0.00043402777777757414,-0.19018638265491267,0.0,-0.0,0.00043402777777757414,-0.19018638265491267
mvp,taxa_omissao,AC,0.030468749999999854,-13.35108406238107,0.01796875,-11.721404303510766,0.012499999999999855,-1.629679758870303
mvp,taxa_omissao,AD,-0.0006944444444443778,0.3042982122479739,0.0068576388888888,-4.47338618346546,-0.007552083333333178,4.777684395713434
mvp,taxa_omissao,BC,-1.4304240662325416e-17,6.267966999999574e-15,3.469446951953614e-18,-2.2631952936866162e-15,-1.777368761427903e-17,8.531162293686189e-15
mvp,taxa_omissao,BD,3.1938574834410064e-17,-1.3995145762358461e-14,0.0,-0.0,3.1938574834410064e-17,-1.3995145762358461e-14
mvp,taxa_omissao,CD,-0.0015625000000000638,0.6846709775580347,0.0032986111111111,-2.151755379388452,-0.004861111111111163,2.8364263569464865
mvp,taxa_omissao,ABC,-0.0006076388888888048,0.2662609357169658,-2.1684043449710093e-18,1.414497058554135e-15,-0.0006076388888888026,0.2662609357169644
mvp,taxa_omissao,ABD,1.2620113287731272e-16,-5.530000193026407e-14,0.0,-0.0,1.2620113287731272e-16,-5.530000193026407e-14
mvp,taxa_omissao,ACD,0.006684027777777909,-2.9288702928870864,-0.0092881944444444,6.0588901472253704,0.015972222222222308,-8.987760440112456
mvp,taxa_omissao,BCD,-3.41740524767431e-17,1.4974708426477005e-14,3.903127820947816e-18,-2.546094705397443e-15,-3.8077180297690914e-17,1.7520803131874447e-14
mvp,taxa_omissao,ABCD,-0.00034722222222251307,0.15214910612412896,-6.5052130349130266e-18,4.2434911756624046e-15,-0.00034722222222250657,0.15214910612412472
mvp,retrabalho_sobre_plano,A,-0.06639829657245144,122.3907935627522,-0.0444834410668884,91.4721239280996,-0.02191485550556304,30.918669634652588
mvp,retrabalho_sobre_plano,B,0.0,-0.0,0.0,-0.0,0.0,0.0
mvp,retrabalho_sobre_plano,C,-0.003907590641279196,7.202792002091377,-0.0051794380037939,10.650574317048704,0.0012718473625147036,-3.447782314957327
mvp,retrabalho_sobre_plano,D,-0.0016455757757480446,3.0332604216989307,-0.00248648420245,5.113003527981923,0.0008409084267019555,-2.0797431062829923
mvp,retrabalho_sobre_plano,AB,0.0010109158614573874,-1.8634031427890119,0.0,-0.0,0.0010109158614573874,-1.8634031427890119
mvp,retrabalho_sobre_plano,AC,0.010553247720761973,-19.452612941643675,0.0004552273962489,-0.9360925280608726,0.010098020324513072,-18.516520413582803
mvp,retrabalho_sobre_plano,AD,0.007069382899166752,-13.030867171176046,0.0035372245375128,-7.273660344090046,0.003532158361653952,-5.757206827086001
mvp,retrabalho_sobre_plano,BC,-5.0843378928369634e-17,9.37186918291619e-14,0.0,-0.0,-5.0843378928369634e-17,9.37186918291619e-14
mvp,retrabalho_sobre_plano,BD,9.034100661182895e-17,-1.665239631323175e-13,0.0,-0.0,9.034100661182895e-17,-1.665239631323175e-13
mvp,retrabalho_sobre_plano,CD,0.0005523651709310098,-1.018164849047054,0.0044229407694575,-9.094975039860673,-0.00387057559852649,8.07681019081362
mvp,retrabalho_sobre_plano,ABC,-0.0035532857727099396,6.549708169134593,0.0,-0.0,-0.0035532857727099396,6.549708169134593
mvp,retrabalho_sobre_plano,ABD,-0.0004218075207805243,0.7775102655342025,0.0,-0.0,-0.0004218075207805243,0.7775102655342025
mvp,retrabalho_sobre_plano,ACD,-3.86562911800295e-05,0.07125445076070802,-0.0048966276458384,10.06902613888139,0.00485797135465837,-9.997771688120682
mvp,retrabalho_sobre_plano,BCD,-1.1674730995569132e-16,2.1519823021667789e-13,0.0,-0.0,-1.1674730995569132e-16,2.1519823021667789e-13
mvp,retrabalho_sobre_plano,ABCD,0.00252824605110092,-4.660270767315435,0.0,-0.0,0.00252824605110092,-4.660270767315435
