distribuicao,publicado,calculado,inferior,superior,contem
binomial,10.174,10.173016537943663,10.033624242643787,10.314144867003591,True
beta_binomial,0.162,0.16124338889147066,0.16100556519009968,0.1614814623794514,False
p_dependente,0.583,0.5843503040286496,0.521851662771573,0.6505510422473464,True
