distribuicao,erros,publicado,calculado,inferior,superior,contem,discrepancia_conhecida,status
binomial,0,62.33,62.329642841623055,62.250488068595395,62.408894233219925,True,False,PASSA
binomial,1,25.82,25.820198696717892,25.772415026424998,25.86782595235944,True,False,PASSA
binomial,2,5.134,5.134116971717007,5.108636269532783,5.159627359175442,True,False,PASSA
binomial,3,0.652,0.6522247476184153,0.6469641019018646,0.6575095709578015,True,False,PASSA
binomial,4,0.059,0.05944083422180637,0.058777551824629376,0.06010933580885509,True,False,PASSA
binomial,5,0.004,0.004136748511563346,0.004077832693297031,0.00419631788745395,False,False,REPROVA
binomial,6,0.0,0.00022848768506144332,0.00022453123681855748,0.00023250071149925314,False,False,REPROVA
binomial,7,0.0,1.0276454212743285e-05,1.0067020420073278e-05,1.0489553634385485e-05,False,False,REPROVA
binomial,8,0.0,3.831340431557995e-07,3.741554603394452e-07,3.922985353783926e-07,False,False,REPROVA
beta_binomial,0,67.475,67.48311643290606,67.48162450582389,67.48460839163009,False,False,REPROVA
beta_binomial,1,18.334,18.32906433983297,18.328241860500952,18.329886775243143,False,False,REPROVA
beta_binomial,2,5.639,5.637495971708166,5.637078241479382,5.637913703455552,False,False,REPROVA
beta_binomial,3,1.765,1.7649355572143883,1.7647714362030655,1.7650996836920196,True,False,PASSA
beta_binomial,4,0.549,0.5484272933814419,0.5483685799307377,0.5484860099773587,False,False,REPROVA
beta_binomial,5,0.167,0.16731346132102856,0.16729366200804727,0.16733326200054321,False,False,REPROVA
beta_binomial,6,0.05,0.04979198022629213,0.049785616814500284,0.049798344157029384,False,False,REPROVA
beta_binomial,7,0.014,0.014385993157256754,0.014384036817734239,0.014387949677016317,False,False,REPROVA
beta_binomial,8,0.0,0.004018884415324553,0.004018308764219534,0.004019460124750934,False,True,DISCREPANCIA_CONHECIDA
p_dependente,0,66.416,66.45758428586795,66.37268826023566,66.54250021595944,True,False,PASSA
p_dependente,1,19.719,19.700936716962143,19.593197279537932,19.809039291717642,True,False,PASSA
p_dependente,2,5.69,5.675635605708112,5.621129567757033,5.730545138995473,True,False,PASSA
p_dependente,3,1.593,1.5865012078296516,1.5647958160381803,1.608456114755569,True,False,PASSA
p_dependente,4,0.432,0.4295485013367282,0.4219447991525239,0.4372707356793784,True,False,PASSA
p_dependente,5,0.113,0.11243535266983216,0.10999955811114469,0.11491905061787062,True,False,PASSA
p_dependente,6,0.029,0.028392239406262763,0.027666313210461327,0.029135385825627223,True,False,PASSA
p_dependente,7,0.007,0.006900658028993433,0.006697692689537453,0.007109255771287334,True,False,PASSA
p_dependente,8,0.002,0.0016100817850183888,0.001556631245086332,0.0016652293773606335,False,False,REPROVA
