configuracao,metrica,n_instancias_DEPOIS,media_centralizada_DEPOIS,media_adaptativa_DEPOIS,media_diferenca_DEPOIS,ic95_inferior_DEPOIS,ic95_superior_DEPOIS,n_positivo_DEPOIS,n_negativo_DEPOIS,n_zero_DEPOIS,n_pares_censurados_DEPOIS,n_instancias_ANTES,media_centralizada_ANTES,media_adaptativa_ANTES,media_diferenca_ANTES,ic95_inferior_ANTES,ic95_superior_ANTES,n_positivo_ANTES,n_negativo_ANTES,n_zero_ANTES,n_pares_censurados_ANTES
C4,E_plano,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0,16,339.25,339.25,0.0,0.0,0.0,0,0,16,0
C4,E_total,16,0.7318196434857358,0.8646187306955574,0.13279908720982153,0.11593174220252346,0.14966643221711962,16,0,0,0,16,0.7839008771073721,0.8885319344131772,0.10463105730580516,0.08977301966093512,0.1194890949506752,16,0,0,0
C4,S_PV_final,16,256.6875,316.0989583333333,59.41145833333333,53.921412722670276,64.90150394399639,16,0,0,0,16,257.1979166666667,315.421875,58.22395833333333,54.12067707661014,62.327239590056514,16,0,0,0
C4,S_UR_final,16,9.870576578308032e-16,5.319818659662208e-17,-9.33859471234181e-16,-1.448189904739308e-15,-4.1952903772905396e-16,1,15,0,0,16,1.0125002688117965e-15,1.7925475918427005e-17,-9.945747928933693e-16,-1.392306362671409e-15,-5.968432231153295e-16,0,16,0,0
C4,S_UR_maximo,16,25.416481955759572,6.687743748417331,-18.72873820734224,-20.81255626812902,-16.64492014655546,0,16,0,0,16,25.112262752683552,6.82348248352241,-18.28878026916114,-19.791363766650225,-16.786196771672056,0,16,0,0
C4,TL,16,0.0,8.989583333333334,8.989583333333334,8.21063378646058,9.768532880206088,16,0,0,0,16,0.0,10.489583333333334,10.489583333333334,9.62216515747912,11.357001509187548,16,0,0,0
C4,TR,16,64.02010224312522,52.17645872837919,-11.843643514746045,-15.233166453055226,-8.454120576436864,0,16,0,0,16,68.86531966000788,52.508906312877905,-16.356413347129973,-19.1295017337695,-13.583324960490444,0,16,0,0
C4,TU,16,143.57291666666669,15.869791666666668,-127.70312499999999,-142.0386836990259,-113.36756630097406,0,16,0,0,16,126.265625,5.942708333333333,-120.32291666666667,-134.59218836608736,-106.05364496724599,0,16,0,0
C4,TW,16,554.4739583333333,489.328125,-65.14583333333334,-69.48778993639125,-60.803876730275434,0,16,0,0,16,696.796875,547.1927083333333,-149.60416666666666,-161.87070668292282,-137.3376266504105,0,16,0,0
C4,atraso_relativo,16,2.7847123229381294,1.7288780963607047,-1.0558342265774248,-1.188570828698112,-0.9230976244567375,0,16,0,0,16,3.1345325057997284,1.9991332944309277,-1.1353992113688003,-1.2444795128346746,-1.026318909902926,0,16,0,0
C4,competencia_maxima_final,16,0.6784269160974062,0.8987963052270831,0.22036938912967693,0.19445944947627875,0.24627932878307512,16,0,0,0,16,0.6784269160974062,0.9040176605668715,0.2255907444694652,0.19863896304822404,0.25254252589070636,16,0,0,0
C4,competencia_maxima_inicial,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0,16,0.6784269160974062,0.6784269160974062,0.0,0.0,0.0,0,0,16,0
C4,competencia_minima_inicial,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0,16,0.36053696648776334,0.36053696648776334,0.0,0.0,0.0,0,0,16,0
C4,concluiu,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0,16,1.0,1.0,0.0,0.0,0.0,0,0,16,0
C4,divida_latente_sobre_plano,16,0.07464532435294627,0.019724506733065954,-0.054920817619880324,-0.0597780113228691,-0.05006362391689155,0,16,0,0,16,0.07412735814984972,0.020144458403516828,-0.053982899746332885,-0.05825990358566864,-0.04970589590699713,0,16,0,0
C4,dividas_pendentes,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4,hiato_colega_capaz_sem_confianca,16,93.89583333333334,0.0,-93.89583333333334,-104.92279854339169,-82.86886812327499,0,16,0,0,16,81.421875,0.0,-81.421875,-92.06140103478849,-70.78234896521151,0,16,0,0
C4,hiato_encontrado,16,143.57291666666669,24.859375,-118.71354166666666,-132.8701342062721,-104.55694912706122,0,16,0,0,16,126.265625,16.432291666666664,-109.83333333333334,-124.01955388981516,-95.64711277685153,0,16,0,0
C4,hiato_sem_colega_capaz,16,49.67708333333333,15.869791666666668,-33.80729166666667,-38.82987676531278,-28.784706568020557,0,16,0,0,16,44.84375,5.942708333333333,-38.90104166666667,-44.268678694558574,-33.53340463877477,0,16,0,0
C4,hiato_sem_colega_livre,16,11.473958333333332,6.380208333333334,-5.09375,-8.556022150091195,-1.631477849908804,6,10,0,0,16,11.385416666666668,1.9479166666666665,-9.4375,-12.945847948864639,-5.929152051135361,0,15,1,0
C4,makespan,16,210.58854166666666,131.44270833333334,-79.14583333333334,-85.24966672180396,-73.04199994486272,0,16,0,0,16,237.68229166666669,151.90625,-85.77604166666666,-90.54976146784735,-81.00232186548597,0,16,0,0
C4,makespan_cpm,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0,16,77.1875,77.1875,0.0,0.0,0.0,0,0,16,0
C4,n_adiamentos,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4,n_com_erro,16,13.135416666666666,3.786458333333333,-9.348958333333332,-9.909758960154686,-8.788157706511978,0,16,0,0,16,13.020833333333332,3.8229166666666665,-9.197916666666668,-9.82503693849267,-8.570796394840666,0,16,0,0
C4,n_limpas,16,46.864583333333336,56.21354166666667,9.348958333333332,8.788157706511978,9.909758960154686,16,0,0,0,16,46.97916666666667,56.177083333333336,9.197916666666668,8.570796394840666,9.82503693849267,16,0,0,0
C4,n_reportadas,16,1.8645833333333335,10.411458333333334,8.546875,8.12406264961824,8.96968735038176,16,0,0,0,16,2.140625,9.989583333333332,7.848958333333333,7.4150219841769225,8.282894682489744,16,0,0,0
C4,n_tarefas,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0,16,60.0,60.0,0.0,0.0,0.0,0,0,16,0
C4,p1_fuga,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0,16,0.0,0.0,0.0,0.0,0.0,0,0,16,0
C4,p1_omissao,16,36.1875,19.229166666666664,-16.958333333333336,-18.90697459039488,-15.00969207627179,0,16,0,0,16,38.640625,19.166666666666664,-19.473958333333332,-21.62613552227828,-17.321781144388385,0,16,0,0
C4,p2_ajuda,16,0.0,8.989583333333334,8.989583333333334,8.21063378646058,9.768532880206088,16,0,0,0,16,0.0,10.489583333333334,10.489583333333334,9.62216515747912,11.357001509187548,16,0,0,0
C4,p2_bloqueio,16,143.57291666666669,15.869791666666668,-127.70312499999999,-142.0386836990259,-113.36756630097406,0,16,0,0,16,126.265625,5.942708333333333,-120.32291666666667,-134.59218836608736,-106.05364496724599,0,16,0,0
C4,p3_analitica,16,23.8125,40.770833333333336,16.958333333333336,15.00969207627179,18.90697459039488,16,0,0,0,16,21.359375,40.83333333333333,19.473958333333332,17.321781144388385,21.62613552227828,16,0,0,0
