concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,configuracao,arquivo,semente,cenario,atraso_relativo,violacoes,tarefas_pendentes,dividas_pendentes
True,177,85,0.7634351147685857,0.0,16.878011683942027,253.0,511.0,0.0,84.0,74.34306546129403,48,12,7,0,0.2,323.0,0.2301642893538515,0.05225390614223538,0.11106870198178374,23,0,0,84,37,84,7,2,77,0.6863255838987572,0.3910769205246226,9,60,0,0,0,0,0.6863255838987572,nenhuma,74.34306546129402,0.0,85,0,terminal,0.25,sem_assistencia,j6010_1.sm,5,centralizada,2.0823529411764707,[],0,0
True,145,85,0.6710203600099209,0.0,9.796081272857963,281.0,424.0,0.0,126.0,81.8735246628452,54,6,16,0,0.1,323.0,0.2534784045289325,0.030328424993368307,0.12957264621354606,27,0,0,126,33,126,1,12,125,0.6863255838987572,0.3910769205246226,9,60,0,0,0,0,0.6863255838987572,nenhuma,81.8735246628452,0.0,90,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,5,adaptativa,1.7058823529411764,[],0,0
True,233,85,0.7728134139958569,8.881784197001252e-16,30.6034846964953,232.0,522.0,0.0,98.0,55.454114209770275,45,15,1,0,0.25,323.0,0.17168456411693583,0.09474763063930433,0.08209901019649181,23,0,0,98,37,98,3,35,95,0.7631789564580391,0.24360497938515846,4,60,0,0,0,0,0.7631789564580391,nenhuma,55.45411420977027,0.0,61,0,terminal,0.25,sem_assistencia,j6010_1.sm,6,centralizada,2.7411764705882353,[],0,0
True,141,85,0.7257718366042024,0.0,4.0,315.0,447.0,0.0,110.0,58.89603985111673,59,1,15,0,0.016666666666666666,323.0,0.18234068065361217,0.01238390092879257,0.0956265928667993,23,0,0,110,37,110,3,34,107,0.7631789564580391,0.24360497938515846,4,60,0,0,0,0,0.7631789564580391,nenhuma,58.89603985111673,0.0,67,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,6,adaptativa,1.6588235294117648,[],0,0
True,232,85,0.6871463458652652,4.6629367034256575e-15,38.781999366110696,213.0,517.0,0.0,157.0,78.38703241444973,39,21,0,0,0.35,323.0,0.24268431088064935,0.12006810949260277,0.10418445432652075,38,0,0,157,22,157,1,0,156,0.5858494645010164,0.43100241340042456,20,60,0,0,0,0,0.5858494645010164,nenhuma,78.38703241444975,0.0,87,0,terminal,0.25,sem_assistencia,j6010_1.sm,7,centralizada,2.7294117647058824,[],0,0
True,159,85,0.6423718093330475,0.0,9.547575399242763,291.0,431.0,0.0,157.0,82.95098778928735,56,4,13,0,0.06666666666666667,323.0,0.2568142036820042,0.029559056963599888,0.12363196313728085,34,0,0,157,26,157,1,3,156,0.5858494645010164,0.43100241340042456,20,60,0,0,0,0,0.5858494645010164,nenhuma,82.95098778928734,0.0,91,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,7,adaptativa,1.8705882352941177,[],0,0
True,203,85,0.6185611831849088,0.0,27.533692630665936,184.0,521.0,0.0,220.0,101.27723006707886,34,26,3,0,0.43333333333333335,323.0,0.31355179587330917,0.08524363043549825,0.12024215596925629,50,0,0,220,10,220,21,5,199,0.5273323364698471,0.27249021043639565,27,60,0,0,0,0,0.5273323364698471,nenhuma,101.27723006707885,0.0,114,0,terminal,0.25,sem_assistencia,j6010_1.sm,8,centralizada,2.388235294117647,[],0,0
True,165,85,0.5521638607078083,0.0,0.5,322.0,456.0,0.0,257.0,112.84180611795621,59,1,24,0,0.016666666666666666,323.0,0.34935543689769727,0.0015479876160990713,0.13663852481432606,47,0,0,257,13,257,17,13,240,0.5273323364698471,0.27249021043639565,27,60,0,0,0,0,0.5273323364698471,nenhuma,112.84180611795622,0.0,121,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,8,adaptativa,1.9411764705882353,[],0,0
True,218,85,0.6983208350688197,2.4424906541753444e-15,39.05552525875578,203.0,506.0,0.0,125.0,93.59530718445994,41,19,3,0,0.31666666666666665,323.0,0.2897687528930648,0.12091493888159684,0.12916907721655094,27,0,0,125,33,125,11,4,114,0.6872143627230507,0.3512385487549321,9,60,0,0,0,0,0.6872143627230507,nenhuma,93.59530718445995,0.0,102,0,terminal,0.25,sem_assistencia,j6010_1.sm,9,centralizada,2.5647058823529414,[],0,0
True,140,85,0.6674164402161834,0.0,7.540598450808536,296.0,425.0,0.0,153.0,58.783834486213536,56,4,14,0,0.06666666666666667,323.0,0.18199329562295213,0.02334550603965491,0.0923136413059905,29,0,0,153,31,153,2,16,151,0.6872143627230507,0.3512385487549321,9,60,0,0,0,0,0.6872143627230507,nenhuma,58.78383448621353,0.0,67,0,terminal,0.7999999999999999,sem_assistencia,j6010_1.sm,9,adaptativa,1.6470588235294117,[],0,0
