metrica,media,ic95_inf,ic95_sup,N
atraso_relativo,-1.0329559309224525,-1.1606692277785022,-0.9052426340664029,24
taxa_omissao,-0.19994212962962962,-0.2121250365480628,-0.18775922271119644,24
divida_latente_sobre_plano,-0.06640151579168864,-0.07381097874296445,-0.058992052840412826,24
taxa_falha_efetiva,-0.02309027777777778,-0.031333325614730435,-0.014847229940825124,24
fracao_porta1,-0.06087962962962964,-0.07537862968540134,-0.04638062957385794,24
