mapa,arquivo,semente,cenario,concluiu,violacoes,atraso_relativo,fracao_porta1,TW,TL,TU,TR,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,retrabalho_sobre_esforco_total
longo,j6021_1.sm,0,adaptativa,True,0,2.473684210526316,0.43333333333333335,412.0,72.0,25.0,32.560144472335274,0.06666666666666667,0.029762446989220356,0.1,0.08931350551076521
longo,j6021_1.sm,1,centralizada,True,0,5.473684210526316,0.48333333333333334,533.0,0.0,30.0,57.47557698586725,0.18333333333333332,0.07991582679671642,0.21666666666666667,0.147571710222931
longo,j6021_1.sm,1,adaptativa,True,0,2.6052631578947367,0.35,379.0,54.0,16.0,23.660922478434607,0.06666666666666667,0.023692905000994163,0.11666666666666667,0.06652662967174663
longo,j6021_1.sm,2,centralizada,True,0,3.0,0.55,533.0,0.0,27.0,66.8832660495598,0.2,0.07254102076481105,0.25,0.16767628963720377
longo,j6021_1.sm,2,adaptativa,True,0,2.276315789473684,0.35,399.0,46.0,24.0,34.17501379429205,0.05,0.012048192771084338,0.2,0.09332972624257403
longo,j6021_1.sm,3,centralizada,True,0,3.4473684210526314,0.6333333333333333,553.0,0.0,77.0,88.44756883541771,0.25,0.09896428738749578,0.2833333333333333,0.21036527593774745
longo,j6021_1.sm,3,adaptativa,True,0,2.539473684210526,0.4666666666666667,433.0,54.0,25.0,34.68904563379797,0.03333333333333333,0.016845328052898425,0.11666666666666667,0.09460071427506167
longo,j6032_1.sm,0,centralizada,True,0,2.536231884057971,0.65,583.0,0.0,125.0,74.04089691662924,0.21666666666666667,0.10275845206815608,0.25,0.18013024366197516
longo,j6032_1.sm,0,adaptativa,True,0,1.7391304347826086,0.36666666666666664,431.0,90.0,42.0,34.49498088220787,0.06666666666666667,0.013301619277383934,0.13333333333333333,0.09285450048420815
longo,j6032_1.sm,1,centralizada,True,0,3.4347826086956523,0.5333333333333333,579.0,0.0,164.0,70.5890366190178,0.2,0.1265435242953226,0.23333333333333334,0.17318678933211565
longo,j6032_1.sm,1,adaptativa,True,0,1.8115942028985508,0.31666666666666665,434.0,87.0,60.0,49.734101046641904,0.05,0.008250856514794817,0.21666666666666667,0.12860024733284056
longo,j6032_1.sm,2,centralizada,True,0,2.420289855072464,0.5833333333333334,564.0,0.0,105.0,33.46407991137799,0.11666666666666667,0.05702862923723371,0.13333333333333333,0.09033016080636815
longo,j6032_1.sm,2,adaptativa,True,0,1.9565217391304348,0.43333333333333335,443.0,75.0,63.0,42.524889383668565,0.0,0.0,0.13333333333333333,0.11204769587767244
longo,j6032_1.sm,3,centralizada,True,0,3.3333333333333335,0.6333333333333333,585.0,0.0,166.0,75.51177428974239,0.21666666666666667,0.11280745546838944,0.26666666666666666,0.18305362172936182
longo,j6032_1.sm,3,adaptativa,True,0,1.8985507246376812,0.4666666666666667,447.0,103.0,71.0,45.837612615531214,0.0,0.0,0.15,0.1197312152856938
longo,j6043_1.sm,0,centralizada,True,0,2.3518518518518516,0.4166666666666667,505.0,0.0,152.0,43.85786979750097,0.11666666666666667,0.044668184482752706,0.11666666666666667,0.1160697534790131
longo,j6043_1.sm,0,adaptativa,True,0,1.3611111111111112,0.31666666666666665,361.0,191.0,58.0,8.065641387446364,0.03333333333333333,0.01816060295642624,0.03333333333333333,0.023579221095493427
longo,j6043_1.sm,1,centralizada,True,0,2.6296296296296298,0.4666666666666667,512.0,0.0,204.0,40.09449561334485,0.1,0.05326886656449547,0.15,0.10717745404836312
longo,j6043_1.sm,1,adaptativa,True,0,1.2685185185185186,0.26666666666666666,362.0,132.0,42.0,17.994996159695273,0.016666666666666666,0.014970059880239521,0.06666666666666667,0.05112287491590133
longo,j6043_1.sm,2,centralizada,True,0,3.0277777777777777,0.45,529.0,0.0,97.0,73.17628738596835,0.16666666666666666,0.0823269509410042,0.23333333333333334,0.17971647576963018
longo,j6043_1.sm,2,adaptativa,True,0,1.5833333333333333,0.26666666666666666,387.0,144.0,51.0,31.75725658873226,0.05,0.026487653789716736,0.11666666666666667,0.086826046555902
longo,j6043_1.sm,3,centralizada,True,0,1.8796296296296295,0.6,514.0,0.0,236.0,45.84208869889077,0.11666666666666667,0.06445490670525847,0.15,0.12068722783174986
longo,j6043_1.sm,3,adaptativa,True,0,1.4074074074074074,0.3,372.0,195.0,65.0,19.161839064694234,0.016666666666666666,0.014970059880239521,0.06666666666666667,0.054257954697036384
