alpha,beta,mu,CV,E0,construtos_compativeis,E0_compativel
0.75455,45.45625,0.016328434045720916,1.1296193182159155,67.48456846760006,True,False
0.75455,45.45625138888889,0.016328433554961615,1.1296193188572734,67.48456902210135,True,False
0.75455,45.45625277777778,0.01632843306420234,1.1296193194986313,67.48456957660248,True,False
0.75455,45.45625416666667,0.0163284325734431,1.129619320139989,67.48457013110374,True,False
0.75455,45.45625555555555,0.016328432082683888,1.1296193207813465,67.48457068560478,True,False
0.75455,45.45625694444444,0.0163284315919247,1.1296193214227042,67.48457124010604,True,False
0.75455,45.45625833333333,0.01632843110116555,1.129619322064062,67.48457179460704,True,False
0.75455,45.45625972222222,0.01632843061040642,1.1296193227054194,67.48457234910823,True,False
0.75455,45.45626111111111,0.016328430119647328,1.129619323346777,67.48457290360916,True,False
0.75455,45.456262499999994,0.016328429628888263,1.1296193239881345,67.48457345811022,True,False
0.75455,45.456263888888884,0.016328429138129225,1.1296193246294919,67.48457401261133,True,False
0.75455,45.456265277777774,0.01632842864737022,1.1296193252708495,67.4845745671122,True,False
0.75455,45.456266666666664,0.01632842815661124,1.1296193259122067,67.4845751216133,True,False
0.75455,45.456268055555554,0.016328427665852293,1.1296193265535643,67.4845756761141,True,False
0.75455,45.456269444444445,0.016328427175093377,1.1296193271949215,67.48457623061515,True,False
0.75455,45.456270833333335,0.016328426684334485,1.1296193278362787,67.48457678511592,True,False
0.75455,45.45627222222222,0.016328426193575628,1.129619328477636,67.48457733961686,True,False
0.75455,45.45627361111111,0.0163284257028168,1.1296193291189933,67.48457789411766,True,False
0.75455,45.456275,0.016328425212057997,1.1296193297603503,67.48457844861855,True,False
0.75455,45.45627638888889,0.016328424721299226,1.1296193304017075,67.4845790031193,True,False
0.75455,45.45627777777778,0.016328424230540487,1.1296193310430647,67.48457955762015,True,False
0.75455,45.45627916666666,0.016328423739781776,1.1296193316844216,67.48458011212092,True,False
0.75455,45.45628055555555,0.016328423249023092,1.1296193323257786,67.48458066662153,True,False
0.75455,45.45628194444444,0.01632842275826444,1.1296193329671358,67.48458122112234,True,False
0.75455,45.45628333333333,0.01632842226750582,1.1296193336084928,67.48458177562291,True,False
0.75455,45.45628472222222,0.01632842177674722,1.1296193342498495,67.4845823301237,True,False
0.75455,45.45628611111111,0.01632842128598866,1.1296193348912063,67.4845828846242,True,False
0.75455,45.4562875,0.016328420795230125,1.1296193355325632,67.48458343912493,True,False
0.75455,45.456288888888885,0.01632842030447162,1.12961933617392,67.48458399362542,True,False
0.75455,45.456290277777775,0.016328419813713142,1.1296193368152767,67.48458454812607,True,False
0.75455,45.456291666666665,0.016328419322954698,1.1296193374566335,67.48458510262654,True,False
0.75455,45.456293055555555,0.01632841883219628,1.1296193380979902,67.48458565712717,True,False
0.75455,45.456294444444445,0.016328418341437893,1.1296193387393467,67.48458621162756,True,False
0.75455,45.45629583333333,0.01632841785067954,1.1296193393807032,67.48458676612803,True,False
0.75455,45.45629722222222,0.01632841735992121,1.12961934002206,67.48458732062855,True,False
0.75455,45.45629861111111,0.01632841686916291,1.1296193406634165,67.4845878751289,True,False
0.75455,45.4563,0.01632841637840464,1.1296193413047728,67.4845884296294,True,False
0.75455,45.45630138888889,0.0163284158876464,1.1296193419461293,67.48458898412969,True,False
0.75455,45.45630277777778,0.016328415396888188,1.1296193425874859,67.48458953863013,True,False
0.75455,45.45630416666667,0.016328414906130007,1.1296193432288422,67.48459009313034,True,False
0.75455,45.45630555555555,0.016328414415371858,1.1296193438701985,67.48459064763077,True,False
0.75455,45.45630694444444,0.016328413924613736,1.1296193445115548,67.48459120213101,True,False
0.75455,45.45630833333333,0.016328413433855646,1.129619345152911,67.48459175663135,True,False
0.75455,45.45630972222222,0.01632841294309758,1.1296193457942671,67.48459231113148,True,False
0.75455,45.45631111111111,0.016328412452339548,1.1296193464356235,67.48459286563177,True,False
0.75455,45.456312499999996,0.016328411961581545,1.1296193470769795,67.48459342013199,True,False
0.75455,45.456313888888886,0.016328411470823572,1.1296193477183356,67.48459397463205,True,False
0.75455,45.456315277777776,0.016328410980065627,1.1296193483596917,67.48459452913232,True,False
0.75455,45.456316666666666,0.01632841048930771,1.1296193490010475,67.4845950836323,True,False
0.75455,45.456318055555556,0.016328409998549825,1.1296193496424036,67.48459563813252,True,False
0.75455,45.456319444444446,0.016328409507791967,1.1296193502837595,67.48459619263248,True,False
0.75455,45.456320833333336,0.01632840901703414,1.1296193509251156,67.48459674713266,True,False
0.75455,45.45632222222222,0.016328408526276345,1.1296193515664714,67.48459730163258,True,False
0.75455,45.45632361111111,0.016328408035518577,1.1296193522078273,67.48459785613268,True,False
0.75455,45.456325,0.01632840754476084,1.129619352849183,67.48459841063254,True,False
0.75455,45.45632638888889,0.01632840705400313,1.1296193534905388,67.48459896513265,True,False
0.75455,45.45632777777778,0.01632840656324545,1.1296193541318944,67.48459951963245,True,False
