modelo,metrica,termo,parcela,pct_contraste
mvp,atraso_relativo,A,-0.5079909119221313,44.01851357494562
mvp,atraso_relativo,B,0.0,-0.0
mvp,atraso_relativo,C,-0.4036948835221753,34.98103665520082
mvp,atraso_relativo,D,-0.6686592096144645,57.94076981428063
mvp,atraso_relativo,AB,-2.9759442501947587e-15,2.5787201955998677e-13
mvp,atraso_relativo,AC,-0.04480502345492188,3.88245239607467
mvp,atraso_relativo,AD,0.05039348103714639,-4.366704358408724
mvp,atraso_relativo,BC,-5.958669662476558e-17,5.1633164151280545e-15
mvp,atraso_relativo,BD,6.123526322506324e-16,-5.3061682842684377e-14
mvp,atraso_relativo,CD,0.3925159916531926,-34.01236144480041
mvp,atraso_relativo,ABC,2.1588413059728546e-16,-1.8706827839409496e-14
mvp,atraso_relativo,ABD,1.901239955840998e-15,-1.6474656306104269e-13
mvp,atraso_relativo,ACD,0.028201333083063905,-2.443706637292558
mvp,atraso_relativo,BCD,-1.0891861345285355e-15,9.438033933909463e-14
mvp,atraso_relativo,ABCD,-3.223698257460324e-15,2.7934044128981916e-13
mvp,E_total,A,0.12634794300516508,96.38777774681208
mvp,E_total,B,0.0,0.0
mvp,E_total,C,0.004576603217808248,3.4913794661098136
mvp,E_total,D,0.008017347374851887,6.116239635611796
mvp,E_total,AB,-7.835192557882535e-16,-5.977278148816278e-13
mvp,E_total,AC,-0.002330319773624353,-1.7777443706378613
mvp,E_total,AD,-0.007338564200052322,-5.598412433722318
mvp,E_total,BC,5.244634399779768e-17,4.0010042337499065e-14
mvp,E_total,BD,2.0027941806828884e-16,1.5278830487361334e-13
mvp,E_total,CD,-0.006919159372879646,-5.2784586750306755
mvp,E_total,ABC,-1.3209543434167048e-16,-1.0077239932725334e-13
mvp,E_total,ABD,7.591139159660635e-16,5.791095737400169e-13
mvp,E_total,ACD,0.008729100262489214,6.659218630856966
mvp,E_total,BCD,-4.501623159502979e-16,-3.434179000289204e-13
mvp,E_total,ABCD,-8.241545514310782e-16,-6.2872749522416e-13
mvp,TW,A,-68.40625,103.81788000948539
mvp,TW,B,0.0,-0.0
mvp,TW,C,2.6302083333335364,-3.9917793059840245
mvp,TW,D,1.8749999999999016,-2.8456248517902223
mvp,TW,AB,-5.415632496850546e-13,8.219124491307443e-13
mvp,TW,AC,-1.4375000000000848,2.18164571970608
mvp,TW,AD,-0.46875000000006006,0.711406212947684
mvp,TW,BC,-1.1538368640170041e-14,1.7511396560846158e-14
mvp,TW,BD,1.2372279127130059e-13,-1.8776994643972577e-13
mvp,TW,CD,-2.2708333333335124,3.4463678760575
mvp,TW,ABC,4.679546680708134e-14,-7.101991642525978e-14
mvp,TW,ABD,4.155048700937857e-13,-6.305978583353635e-13
mvp,TW,ACD,2.1875000000000706,-3.3198956604222074
mvp,TW,BCD,-2.622742879358301e-13,3.980449235924383e-13
mvp,TW,ABCD,-5.443403251296589e-13,8.261271237443245e-13
mvp,TL,A,9.135416666666666,100.0
mvp,TL,B,0.0,0.0
mvp,TL,C,-4.644240239295671e-16,-5.083774948373825e-15
mvp,TL,D,2.1768852152980047e-15,2.3829074192543722e-14
mvp,TL,AB,-3.2132861186677055e-15,-3.5173941549840336e-14
mvp,TL,AC,0.07291666666666755,0.7981755986317087
mvp,TL,AD,-0.005208333333339046,-0.057012542759469605
mvp,TL,BC,6.594262173346503e-15,7.218348559193436e-14
mvp,TL,BD,-2.1768852152980047e-15,-2.3829074192543722e-14
mvp,TL,CD,-1.7124611913684374e-15,-1.8745299244169896e-14
mvp,TL,ABC,-1.0687631335493109e-14,-1.1699117539422332e-13
mvp,TL,ABD,5.91020288265298e-15,6.46954933562926e-14
mvp,TL,ACD,-0.06770833333332954,-0.7411630558722504
mvp,TL,BCD,-4.898859096158503e-15,-5.362491142887302e-14
mvp,TL,ABCD,-1.9053046177811967e-16,-2.0856242110261674e-15
mvp,TU,A,-123.875,100.11365071347393
mvp,TU,B,0.0,-0.0
mvp,TU,C,-1.473958333333246,1.1912278486340162
mvp,TU,D,-6.026041666666757,4.870143536641904
mvp,TU,AB,-1.230043266316668e-13,9.940998742804236e-14
mvp,TU,AC,1.833333333333218,-1.4816685608451314
mvp,TU,AD,5.94270833333349,-4.802794965694448
mvp,TU,BC,-1.2502354475770378e-13,1.0104188489068117e-13
mvp,TU,BD,9.553776317515009e-14,-7.721198185641629e-14
mvp,TU,CD,5.281249999999978,-4.268215683798441
mvp,TU,ABC,1.9344884490587094e-13,-1.5634203907028338e-13
mvp,TU,ABD,-5.6043133097224124e-15,4.529309910622987e-15
mvp,TU,ACD,-5.416666666666712,4.3776571115882
mvp,TU,BCD,-3.764060822290326e-15,3.042049408089163e-15
mvp,TU,ABCD,-1.4969463747275627e-13,1.2098063894754895e-13
mvp,TR,A,-12.617472871237506,80.62305565342162
mvp,TR,B,0.0,-0.0
mvp,TR,C,-2.830366227830772,18.085457859485338
mvp,TR,D,-1.5415654902590015,9.850286311917854
mvp,TR,AB,-7.081299154035079e-14,4.5248044645750276e-13
mvp,TR,AC,1.0752930403992016,-6.870901290976106
mvp,TR,AD,1.3643541589067847,-8.71794236508871
mvp,TR,BC,-1.01191028932309e-14,6.465898552343301e-14
mvp,TR,BD,2.2240217956394483e-14,-1.4211041690686487e-13
mvp,TR,CD,1.5977707024044414,-10.209426053533145
mvp,TR,ABC,1.4282018958383207e-14,-9.125916267668726e-14
mvp,TR,ABD,3.740534161744959e-14,-2.3901243693842055e-13
mvp,TR,ACD,-2.697969480599936,17.23946988477319
mvp,TR,BCD,-2.929230768207534e-14,1.8717181931515287e-13
mvp,TR,ABCD,-6.968966584755401e-14,4.453026264002292e-13
mvp,taxa_omissao,A,-0.01493055555555556,9.019402202412168
mvp,taxa_omissao,B,0.0,-0.0
mvp,taxa_omissao,C,-0.16067708333333325,97.06345044572622
mvp,taxa_omissao,D,-0.005468750000000032,3.3036182485579637
mvp,taxa_omissao,AB,-1.7446619958912576e-16,1.0539332036008017e-13
mvp,taxa_omissao,AC,0.011718749999999835,-7.079181961195496
mvp,taxa_omissao,AD,8.680555555559688e-05,-0.05243838489777011
mvp,taxa_omissao,BC,-9.94815726709477e-18,6.009584253640888e-15
mvp,taxa_omissao,BD,2.3477353998637137e-17,-1.4182439332160452e-14
mvp,taxa_omissao,CD,0.006076388888888844,-3.670686942842133
mvp,taxa_omissao,ABC,9.15379847538706e-17,-5.529719897035078e-14
mvp,taxa_omissao,ABD,6.83697889969359e-17,-4.130151910040386e-14
mvp,taxa_omissao,ACD,-0.0023437499999999223,1.415836392239072
