arquivo,cenario,semente,TR,E_plano,retrabalho_sobre_esforco_total
j6010_1.sm,centralizada,0,69.8894835451404,323.0,0.17788585969395274
j6010_1.sm,centralizada,1,73.56675043879109,323.0,0.18550912389248805
j6010_1.sm,centralizada,2,85.0062091711865,323.0,0.2083453811741394
j6010_1.sm,centralizada,3,74.76847840892171,323.0,0.18796984292972746
j6010_1.sm,adaptativa,0,37.04251869831918,323.0,0.10288373393298371
j6010_1.sm,adaptativa,1,32.92848936002933,323.0,0.09251434022389103
j6010_1.sm,adaptativa,2,64.09790123313071,323.0,0.16558576274617307
j6010_1.sm,adaptativa,3,54.51975203000572,323.0,0.14441562788924597
j6021_1.sm,centralizada,0,72.91508796032242,332.0,0.1800750086335814
j6021_1.sm,centralizada,1,75.55507246772123,332.0,0.18538616636578673
j6021_1.sm,centralizada,2,56.66461519537095,332.0,0.1457930899289281
j6021_1.sm,centralizada,3,118.83749212091763,332.0,0.2635927450528995
j6021_1.sm,adaptativa,0,79.90484904866048,332.0,0.19398860982872504
j6021_1.sm,adaptativa,1,85.1059307580569,332.0,0.20403912886921466
j6021_1.sm,adaptativa,2,64.45882801434658,332.0,0.16258643637016962
j6021_1.sm,adaptativa,3,41.17820953591587,332.0,0.11034462485664706
j6032_1.sm,centralizada,0,99.87695663387204,337.0,0.22861575809221418
j6032_1.sm,centralizada,1,94.0257936140988,337.0,0.2181442387141242
j6032_1.sm,centralizada,2,87.00716173258073,337.0,0.20520210408015638
j6032_1.sm,centralizada,3,77.3133163150021,337.0,0.18660591699693485
j6032_1.sm,adaptativa,0,53.18976284929845,337.0,0.13631767902081462
j6032_1.sm,adaptativa,1,72.54175110323301,337.0,0.17712907391692878
j6032_1.sm,adaptativa,2,61.08897116982239,337.0,0.15345557298486975
j6032_1.sm,adaptativa,3,41.832369695010556,337.0,0.11042448597697407
j6043_1.sm,centralizada,0,58.09857985334466,334.0,0.14817340036037643
j6043_1.sm,centralizada,1,53.85695468621138,334.0,0.13885777742411082
j6043_1.sm,centralizada,2,77.78773422167602,334.0,0.18890250426886407
j6043_1.sm,centralizada,3,85.5801560890785,334.0,0.2039661667672136
j6043_1.sm,adaptativa,0,53.90301745994712,334.0,0.1389600364877617
j6043_1.sm,adaptativa,1,73.54734617528402,334.0,0.1804633176132907
j6043_1.sm,adaptativa,2,80.25361986203313,334.0,0.19373064232670203
j6043_1.sm,adaptativa,3,37.53606153759509,334.0,0.10102938967015153
