arquivo,semente,cenario,concluiu,TR,E_plano,retrabalho_sobre_esforco_total
j6010_1.sm,0,centralizada,True,69.8894835451404,323.0,0.1778858596939527
j6010_1.sm,0,adaptativa,True,37.04251869831918,323.0,0.1028837339329837
j6010_1.sm,1,centralizada,True,73.56675043879109,323.0,0.185509123892488
j6010_1.sm,1,adaptativa,True,32.92848936002933,323.0,0.092514340223891
j6010_1.sm,2,centralizada,True,85.0062091711865,323.0,0.2083453811741394
j6010_1.sm,2,adaptativa,True,64.09790123313071,323.0,0.165585762746173
j6010_1.sm,3,centralizada,True,74.76847840892171,323.0,0.1879698429297274
j6010_1.sm,3,adaptativa,True,54.51975203000572,323.0,0.1444156278892459
j6010_1.sm,4,centralizada,True,78.52719895926086,323.0,0.1955713066581779
j6010_1.sm,4,adaptativa,True,47.284596036346066,323.0,0.1276979829636357
j6010_1.sm,5,centralizada,True,74.34306546129403,323.0,0.1871004477578731
j6010_1.sm,5,adaptativa,True,62.038184429690766,323.0,0.1611221612255943
j6010_1.sm,6,centralizada,True,55.454114209770275,323.0,0.1465279729500656
j6010_1.sm,6,adaptativa,True,58.86527249167487,323.0,0.1541519397864549
j6010_1.sm,7,centralizada,True,78.38703241444973,323.0,0.1952903957632385
j6010_1.sm,7,adaptativa,True,65.38437513255238,323.0,0.1683496538969603
j6010_1.sm,8,centralizada,True,101.27723006707886,323.0,0.2387053155104901
j6010_1.sm,8,adaptativa,True,97.07875307862668,323.0,0.231096555984245
j6010_1.sm,9,centralizada,True,93.59530718445994,323.0,0.2246672143693107
j6010_1.sm,9,adaptativa,True,64.5566501045762,323.0,0.1665734547121216
j6010_1.sm,10,centralizada,True,119.95692534410588,323.0,0.2708094590708086
j6010_1.sm,10,adaptativa,True,49.46760474401701,323.0,0.1328104890572006
j6010_1.sm,11,centralizada,True,115.11207479914172,323.0,0.2627457251707029
j6010_1.sm,11,adaptativa,True,77.40202120976369,323.0,0.1933107654549378
j6013_1.sm,0,centralizada,True,82.7516865073458,340.0,0.1957453728712869
j6013_1.sm,0,adaptativa,True,80.22008123651888,340.0,0.1909001611738002
j6013_1.sm,1,centralizada,True,159.68172496381897,340.0,0.319566870242015
j6013_1.sm,1,adaptativa,True,92.82254223801736,340.0,0.2144586595653154
j6013_1.sm,2,centralizada,True,126.37568486044064,340.0,0.270974000066615
j6013_1.sm,2,adaptativa,True,111.7188924599601,340.0,0.2473195040649373
j6013_1.sm,3,centralizada,True,124.95069545134857,340.0,0.2687396678266139
j6013_1.sm,3,adaptativa,True,106.8990034103538,340.0,0.2392017046236204
j6013_1.sm,4,centralizada,True,91.08532732657584,340.0,0.2112930353984714
j6013_1.sm,4,adaptativa,True,178.69328737440622,340.0,0.3445066510865038
j6013_1.sm,5,centralizada,True,130.82056025592274,340.0,0.2778565154096349
j6013_1.sm,5,adaptativa,True,120.42448398365592,340.0,0.2615509995075126
j6013_1.sm,6,centralizada,True,133.00886136040052,340.0,0.2811973986657659
j6013_1.sm,6,adaptativa,True,104.48352626669138,340.0,0.2350672636717721
j6013_1.sm,7,centralizada,True,99.50261344679976,340.0,0.2263982292766143
j6013_1.sm,7,adaptativa,True,97.08224376275076,340.0,0.2221143621094963
j6013_1.sm,8,centralizada,True,115.18357762960858,340.0,0.2530486232157866
j6013_1.sm,8,adaptativa,True,132.86631288657077,340.0,0.2809807111771191
j6013_1.sm,9,centralizada,True,129.64579549942565,340.0,0.2760501568241639
j6013_1.sm,9,adaptativa,True,107.78275252812504,340.0,0.2407032247660214
j6013_1.sm,10,centralizada,True,137.5123198563562,340.0,0.2879764859212894
j6013_1.sm,10,adaptativa,True,116.86918582969278,340.0,0.2558044828903346
j6013_1.sm,11,centralizada,True,103.26010946373776,340.0,0.2329560167023901
j6013_1.sm,11,adaptativa,True,97.03214709473386,340.0,0.2220251936608694
j6016_1.sm,0,centralizada,True,111.78518807945788,365.0,0.2344560839436742
j6016_1.sm,0,adaptativa,True,87.5383852634772,365.0,0.1934385857953476
j6016_1.sm,1,centralizada,True,103.47004151645092,365.0,0.2208680008256567
j6016_1.sm,1,adaptativa,True,83.08178182530453,365.0,0.1854165583051889
j6016_1.sm,2,centralizada,True,124.47790872928152,365.0,0.2543075111447517
j6016_1.sm,2,adaptativa,True,101.91870756847251,365.0,0.2182793405285145
j6016_1.sm,3,centralizada,True,120.74470315553268,365.0,0.2485764690199224
j6016_1.sm,3,adaptativa,True,119.60696004251156,365.0,0.2468123033809072
j6016_1.sm,4,centralizada,True,155.7219440490289,365.0,0.2990500896470129
j6016_1.sm,4,adaptativa,True,103.64764208415473,365.0,0.2211632637757788
j6016_1.sm,5,centralizada,True,148.85661790414554,365.0,0.2896851236659817
j6016_1.sm,5,adaptativa,True,133.03323593648625,365.0,0.2671171848327244
j6016_1.sm,6,centralizada,True,125.5673662692673,365.0,0.2559635534344628
j6016_1.sm,6,adaptativa,True,97.39407675246773,365.0,0.2106300267436285
j6016_1.sm,7,centralizada,True,145.21170038545253,365.0,0.2846106827337527
j6016_1.sm,7,adaptativa,True,146.6491239042224,365.0,0.2866204925461266
j6016_1.sm,8,centralizada,True,208.45637483503012,365.0,0.363508688686211
j6016_1.sm,8,adaptativa,True,179.27517405009166,365.0,0.3293833387917713
j6016_1.sm,9,centralizada,True,156.8491546084968,365.0,0.3005641634624639
j6016_1.sm,9,adaptativa,True,106.32722932708214,365.0,0.2255911025528621
j6016_1.sm,10,centralizada,True,174.28555742145028,365.0,0.3231786110771859
j6016_1.sm,10,adaptativa,True,166.47574455845728,365.0,0.3132330050109116
j6016_1.sm,11,centralizada,True,132.09028722509962,365.0,0.2657269526678251
j6016_1.sm,11,adaptativa,True,121.13611882194976,365.0,0.2491814825763164
j6019_1.sm,0,centralizada,True,47.801815538745686,336.0,0.1245481746136242
j6019_1.sm,0,adaptativa,True,50.7490143082202,336.0,0.131219505236478
j6019_1.sm,1,centralizada,True,102.1415277282218,336.0,0.2331245071833956
j6019_1.sm,1,adaptativa,True,70.93626642441521,336.0,0.1743178779510206
j6019_1.sm,2,centralizada,True,103.64669875807414,336.0,0.2357499761760025
j6019_1.sm,2,adaptativa,True,104.19117166701275,336.0,0.2366952778094996
j6019_1.sm,3,centralizada,True,88.99617799697839,336.0,0.2094046549228287
j6019_1.sm,3,adaptativa,True,50.57859204506953,336.0,0.1308365053985524
j6019_1.sm,4,centralizada,True,95.5431544453558,336.0,0.2213988414858611
j6019_1.sm,4,adaptativa,True,75.37004062353397,336.0,0.1832171358645657
j6019_1.sm,5,centralizada,True,100.45603572352807,336.0,0.2301630118529548
j6019_1.sm,5,adaptativa,True,118.7877406031538,336.0,0.2611938053686622
j6019_1.sm,6,centralizada,True,80.28557479996154,336.0,0.1928617748490115
j6019_1.sm,6,adaptativa,True,69.5357958717053,336.0,0.1714664810839621
j6019_1.sm,7,centralizada,True,75.61977515936864,336.0,0.1837126875891485
j6019_1.sm,7,adaptativa,True,96.67097122409736,336.0,0.2234283731829738
j6019_1.sm,8,centralizada,True,117.21268019333236,336.0,0.2586262152756439
j6019_1.sm,8,adaptativa,True,149.4212993089208,336.0,0.3078177647368322
j6019_1.sm,9,centralizada,True,123.1039794746903,336.0,0.2681396480499835
j6019_1.sm,9,adaptativa,True,94.88190064813838,336.0,0.2202039596126357
j6019_1.sm,10,centralizada,True,124.02407621195934,336.0,0.2696034460483637
j6019_1.sm,10,adaptativa,True,110.81233078180487,336.0,0.2480064294284632
j6019_1.sm,11,centralizada,True,105.37082325290176,336.0,0.2387353619714123
j6019_1.sm,11,adaptativa,True,98.39858576646004,336.0,0.2265168188631276
j6021_1.sm,0,centralizada,True,72.91508796032242,332.0,0.1800750086335814
j6021_1.sm,0,adaptativa,True,79.90484904866048,332.0,0.193988609828725
j6021_1.sm,1,centralizada,True,75.55507246772123,332.0,0.1853861663657867
j6021_1.sm,1,adaptativa,True,85.1059307580569,332.0,0.2040391288692146
j6021_1.sm,2,centralizada,True,56.66461519537095,332.0,0.1457930899289281
j6021_1.sm,2,adaptativa,True,64.45882801434658,332.0,0.1625864363701696
j6021_1.sm,3,centralizada,True,118.83749212091764,332.0,0.2635927450528995
j6021_1.sm,3,adaptativa,True,41.17820953591587,332.0,0.110344624856647
j6021_1.sm,4,centralizada,True,110.99035961921862,332.0,0.2505480248252414
j6021_1.sm,4,adaptativa,True,85.28686393552442,332.0,0.2043842529121698
j6021_1.sm,5,centralizada,True,102.32191301820237,332.0,0.2355900311525706
j6021_1.sm,5,adaptativa,True,59.0831123837913,332.0,0.1510755911285931
j6021_1.sm,6,centralizada,True,91.64552029468167,332.0,0.2163259515430126
j6021_1.sm,6,adaptativa,True,75.46428670329253,332.0,0.1852046649630526
j6021_1.sm,7,centralizada,True,82.67162577807468,332.0,0.1993664881771273
j6021_1.sm,7,adaptativa,True,77.63197591702105,332.0,0.1895163963780672
j6021_1.sm,8,centralizada,True,113.9582408315178,332.0,0.2555356766567097
j6021_1.sm,8,adaptativa,True,91.0549859161983,332.0,0.2152320358995488
j6021_1.sm,9,centralizada,True,100.28669014658516,332.0,0.2319911587205673
j6021_1.sm,9,adaptativa,True,116.86457141480298,332.0,0.2603559711706597
j6021_1.sm,10,centralizada,True,118.49430972322034,332.0,0.2630317568184649
j6021_1.sm,10,adaptativa,True,73.31741978140413,332.0,0.1808888939955891
j6021_1.sm,11,centralizada,True,114.41980190356637,332.0,0.2563053910594289
j6021_1.sm,11,adaptativa,True,110.21292326476856,332.0,0.2492304441287894
j6024_1.sm,0,centralizada,True,75.09227432741014,284.0,0.2091169309282971
j6024_1.sm,0,adaptativa,True,21.29960510480818,284.0,0.0697662386346556
j6024_1.sm,1,centralizada,True,57.3710743677645,284.0,0.1680607370557639
j6024_1.sm,1,adaptativa,True,25.13078501608891,284.0,0.0812949930392114
j6024_1.sm,2,centralizada,True,61.10314247591547,284.0,0.1770576240990903
j6024_1.sm,2,adaptativa,True,49.03803083295981,284.0,0.1472445375391844
j6024_1.sm,3,centralizada,True,53.71262034869175,284.0,0.1590483064957208
j6024_1.sm,3,adaptativa,True,46.097537333411466,284.0,0.1396482315675416
j6024_1.sm,4,centralizada,True,56.38145064529786,284.0,0.1656419600375092
j6024_1.sm,4,adaptativa,True,39.15364363066711,284.0,0.1211610774081689
j6024_1.sm,5,centralizada,True,70.23591110502156,284.0,0.1982743954048139
j6024_1.sm,5,adaptativa,True,29.30186305927449,284.0,0.0935259777045462
j6024_1.sm,6,centralizada,True,72.91528069582785,284.0,0.204292964295827
j6024_1.sm,6,adaptativa,True,50.22808973047769,284.0,0.1502808748689607
j6024_1.sm,7,centralizada,True,72.46853457857578,284.0,0.2032957401534739
j6024_1.sm,7,adaptativa,True,39.48063263220618,284.0,0.1220494479405053
j6024_1.sm,8,centralizada,True,70.19413317777585,284.0,0.1981798302191083
j6024_1.sm,8,adaptativa,True,76.59682343454726,284.0,0.2124168003062027
j6024_1.sm,9,centralizada,True,74.57015668784665,284.0,0.2079653180751562
j6024_1.sm,9,adaptativa,True,48.64357752343787,284.0,0.1462333284339766
j6024_1.sm,10,centralizada,True,72.4116536082697,284.0,0.2031685913610922
j6024_1.sm,10,adaptativa,True,45.25191570753372,284.0,0.1374385798493876
j6024_1.sm,11,centralizada,True,66.10987373234451,284.0,0.1888260763045056
j6024_1.sm,11,adaptativa,True,64.78123927844071,284.0,0.1857360201267139
j6027_1.sm,0,centralizada,True,66.54236426581141,346.0,0.1612982569298907
j6027_1.sm,0,adaptativa,True,26.75075613094347,346.0,0.0717657997762617
j6027_1.sm,1,centralizada,True,59.45619381778315,346.0,0.1466402406088374
j6027_1.sm,1,adaptativa,True,45.248989453365525,346.0,0.1156526679253159
j6027_1.sm,2,centralizada,True,87.61555885654934,346.0,0.2020581528199607
j6027_1.sm,2,adaptativa,True,44.78626753548918,346.0,0.1146055305830876
j6027_1.sm,3,centralizada,True,76.67740552062422,346.0,0.1814088108783065
j6027_1.sm,3,adaptativa,True,32.950710598789726,346.0,0.0869524971907915
j6027_1.sm,4,centralizada,True,73.44204237617538,346.0,0.1750946136923229
j6027_1.sm,4,adaptativa,True,43.024292317515325,346.0,0.1105953874016679
j6027_1.sm,5,centralizada,True,116.70094107507089,346.0,0.252216779166085
j6027_1.sm,5,adaptativa,True,68.2098038889196,346.0,0.1646745278564476
j6027_1.sm,6,centralizada,True,74.52079888706126,346.0,0.1772107327016546
j6027_1.sm,6,adaptativa,True,63.66878852618607,346.0,0.1554152776813661
j6027_1.sm,7,centralizada,True,83.8751892610679,346.0,0.1951152133372591
j6027_1.sm,7,adaptativa,True,73.87623588620984,346.0,0.1759476473591874
j6027_1.sm,8,centralizada,True,132.89386103108058,346.0,0.2775017009926875
j6027_1.sm,8,adaptativa,True,153.84207775283963,346.0,0.3077813665557604
j6027_1.sm,9,centralizada,True,63.99917321776772,346.0,0.1560958592074406
j6027_1.sm,9,adaptativa,True,81.6710600513583,346.0,0.1909670016988069
j6027_1.sm,10,centralizada,True,73.08504141235866,346.0,0.1743919114031241
j6027_1.sm,10,adaptativa,True,79.8978049437888,346.0,0.1875985365886869
j6027_1.sm,11,centralizada,True,95.5841800641702,346.0,0.2164574375157191
j6027_1.sm,11,adaptativa,True,77.99151000558066,346.0,0.1839459238336025
j602_1.sm,0,centralizada,True,79.60423940392627,324.0,0.1972334074624486
j602_1.sm,0,adaptativa,True,85.52401130528656,324.0,0.2088375991256133
