bloco,observacao,metodo,observavel,I,exclui
5,publicada,legado,taxa_omissao,0.47906799219084506,False
5,publicada,legado,atraso_relativo,1.4434779726645088,False
5,publicada,legado,retrabalho_sobre_plano,1.907483863057718,False
5,publicada,legado,E_total,3.2692404813058857,True
5,publicada,legado,maximo,3.2692404813058857,True
5,publicada,pareada,taxa_omissao,0.34347277175294727,False
5,publicada,pareada,atraso_relativo,1.2186158954226092,False
5,publicada,pareada,retrabalho_sobre_plano,1.8117185532928841,False
5,publicada,pareada,E_total,3.319624184824391,True
5,publicada,pareada,maximo,3.319624184824391,True
5,renovada,legado,taxa_omissao,2.4293154365489102,False
5,renovada,legado,atraso_relativo,0.5751306079249897,False
5,renovada,legado,retrabalho_sobre_plano,2.3260595020606845,False
5,renovada,legado,E_total,2.434155993658567,False
5,renovada,legado,maximo,2.434155993658567,False
5,renovada,pareada,taxa_omissao,1.714498117576656,False
5,renovada,pareada,atraso_relativo,0.5649876368387043,False
5,renovada,pareada,retrabalho_sobre_plano,1.9526941893398604,False
5,renovada,pareada,E_total,2.353426526970772,False
5,renovada,pareada,maximo,2.353426526970772,False
6,publicada,legado,taxa_omissao,1.6868424186522497,False
6,publicada,legado,atraso_relativo,1.1534513247682616,False
6,publicada,legado,retrabalho_sobre_plano,0.1703642748536047,False
6,publicada,legado,E_total,0.41030833522816296,False
6,publicada,legado,maximo,1.6868424186522497,False
6,publicada,pareada,taxa_omissao,1.5601617781158692,False
6,publicada,pareada,atraso_relativo,1.392026726668752,False
6,publicada,pareada,retrabalho_sobre_plano,0.14077510326458506,False
6,publicada,pareada,E_total,0.3665747800510724,False
6,publicada,pareada,maximo,1.5601617781158692,False
6,renovada,legado,taxa_omissao,2.3741565839560685,False
6,renovada,legado,atraso_relativo,0.05406179392201987,False
6,renovada,legado,retrabalho_sobre_plano,1.3535040349768457,False
6,renovada,legado,E_total,1.548654305146875,False
6,renovada,legado,maximo,2.3741565839560685,False
6,renovada,pareada,taxa_omissao,2.465594385300064,False
6,renovada,pareada,atraso_relativo,0.06748004485884597,False
6,renovada,pareada,retrabalho_sobre_plano,1.1143075652511627,False
6,renovada,pareada,E_total,1.4081378353538792,False
6,renovada,pareada,maximo,2.465594385300064,False
7,publicada,legado,taxa_omissao,1.5079038406119225,False
7,publicada,legado,atraso_relativo,1.8492831936343417,False
7,publicada,legado,retrabalho_sobre_plano,0.59102579262605,False
7,publicada,legado,E_total,1.071794853154386,False
7,publicada,legado,maximo,1.8492831936343417,False
7,publicada,pareada,taxa_omissao,1.8905250859313896,False
7,publicada,pareada,atraso_relativo,1.5314123713681955,False
7,publicada,pareada,retrabalho_sobre_plano,0.7004202710131402,False
7,publicada,pareada,E_total,1.1094743210384925,False
7,publicada,pareada,maximo,1.8905250859313896,False
7,renovada,legado,taxa_omissao,2.83561452553512,False
7,renovada,legado,atraso_relativo,0.18318669298104037,False
7,renovada,legado,retrabalho_sobre_plano,0.5313160144465098,False
7,renovada,legado,E_total,0.6827049127796627,False
7,renovada,legado,maximo,2.83561452553512,False
7,renovada,pareada,taxa_omissao,4.722504927040709,True
7,renovada,pareada,atraso_relativo,0.15514842772693327,False
7,renovada,pareada,retrabalho_sobre_plano,0.5524751502047548,False
7,renovada,pareada,E_total,0.6394385129515127,False
7,renovada,pareada,maximo,4.722504927040709,True
8,publicada,legado,taxa_omissao,0.311209697822442,False
8,publicada,legado,atraso_relativo,2.9556641932538747,False
8,publicada,legado,retrabalho_sobre_plano,1.5117849762813993,False
8,publicada,legado,E_total,0.456649324447659,False
8,publicada,legado,maximo,2.9556641932538747,False
8,publicada,pareada,taxa_omissao,0.3137892741388641,False
8,publicada,pareada,atraso_relativo,3.915707781375677,True
8,publicada,pareada,retrabalho_sobre_plano,1.5424385930992799,False
8,publicada,pareada,E_total,0.48042950180031196,False
8,publicada,pareada,maximo,3.915707781375677,True
8,renovada,legado,taxa_omissao,0.02445816420757126,False
8,renovada,legado,atraso_relativo,1.605193219059387,False
8,renovada,legado,retrabalho_sobre_plano,1.4039152332087823,False
8,renovada,legado,E_total,0.054090974651525896,False
8,renovada,legado,maximo,1.605193219059387,False
8,renovada,pareada,taxa_omissao,0.024652353586948807,False
8,renovada,pareada,atraso_relativo,2.1255555055343263,False
8,renovada,pareada,retrabalho_sobre_plano,1.3551129714592223,False
8,renovada,pareada,E_total,0.05184928025002468,False
8,renovada,pareada,maximo,2.1255555055343263,False
9,publicada,legado,taxa_omissao,0.10409051061417718,False
9,publicada,legado,atraso_relativo,2.411338043000568,False
9,publicada,legado,retrabalho_sobre_plano,1.4841739302929922,False
9,publicada,legado,E_total,1.8950720862725683,False
9,publicada,legado,maximo,2.411338043000568,False
9,publicada,pareada,taxa_omissao,0.13202051341240614,False
9,publicada,pareada,atraso_relativo,4.9182511905865685,True
9,publicada,pareada,retrabalho_sobre_plano,1.4113157454540612,False
9,publicada,pareada,E_total,2.0433728723452322,False
9,publicada,pareada,maximo,4.9182511905865685,True
9,renovada,legado,taxa_omissao,0.09302033485924628,False
9,renovada,legado,atraso_relativo,0.05657826748366381,False
9,renovada,legado,retrabalho_sobre_plano,0.7014402010001732,False
9,renovada,legado,E_total,0.6422427415030731,False
9,renovada,legado,maximo,0.7014402010001732,False
9,renovada,pareada,taxa_omissao,0.13474926278006785,False
9,renovada,pareada,atraso_relativo,0.1229497111187136,False
9,renovada,pareada,retrabalho_sobre_plano,0.6424554847859122,False
9,renovada,pareada,E_total,0.678918337219727,False
9,renovada,pareada,maximo,0.678918337219727,False
10,publicada,legado,taxa_omissao,1.321186620718783,False
10,publicada,legado,atraso_relativo,1.8486903261051557,False
10,publicada,legado,retrabalho_sobre_plano,1.5921526329160032,False
10,publicada,legado,E_total,0.6588638489509484,False
