observavel,media,IC95_min,IC95_max,n_sementes
taxa_omissao,0.06328124999999998,0.05008842108318325,0.0764740789168167,32
atraso_relativo,0.014980285592497845,-0.0031950235410753113,0.033155594726071005,32
retrabalho_sobre_plano,-0.007959640461924706,-0.021746493938902343,0.005827213015052931,32
E_total,0.0010353834677380679,-0.0058295332579509015,0.007900300193427037,32
