observavel,termo,media,IC95_min,IC95_max,n_sementes
taxa_omissao,portao,-0.004166666666666656,-0.03392621305671328,0.025592879723379966,12
taxa_omissao,rede,-0.004861111111111103,-0.02542446310898912,0.015702240886766913,12
taxa_omissao,interacao,0.0013888888888888794,-0.035160793084870856,0.03793857086264861,12
taxa_omissao,total,-0.007638888888888883,-0.034276576256018224,0.01899879847824046,12
atraso_relativo,portao,-0.30850864651416127,-0.5509050809871507,-0.06611221204117176,12
atraso_relativo,rede,-0.3180487472766885,-0.5301972343850954,-0.10590026016828172,12
atraso_relativo,interacao,0.013272739651416213,-0.19120040406545707,0.21774588336828948,12
atraso_relativo,total,-0.6132846541394337,-0.8075270554769771,-0.4190422528018903,12
retrabalho_sobre_plano,portao,-0.021213270896240238,-0.04429900089766181,0.0018724591051813323,12
retrabalho_sobre_plano,rede,-0.012720658354793189,-0.031122603790939396,0.00568128708135302,12
retrabalho_sobre_plano,interacao,0.006834561992435734,-0.020847752064613367,0.034516876049484835,12
retrabalho_sobre_plano,total,-0.027099367258597695,-0.038780795450342825,-0.01541793906685256,12
E_total,portao,0.11678489776999101,0.08990424978970998,0.14366554575027204,12
E_total,rede,-0.04201669407872638,-0.054473334060031416,-0.029560054097421344,12
E_total,interacao,0.02617503836349175,0.011641430124044075,0.04070864660293942,12
E_total,total,0.1009432420547564,0.07902439205617139,0.1228620920533414,12
TL,portao,10.604166666666666,9.15869533854691,12.049637994786423,12
TL,rede,0.0,0.0,0.0,12
TL,interacao,0.4375,-0.2054952936323694,1.0804952936323695,12
TL,total,11.041666666666666,9.822828822361524,12.260504510971808,12
TU,portao,-119.72916666666667,-148.63281063318271,-90.82552270015063,12
TU,rede,14.291666666666666,3.2090979428712316,25.3742353904621,12
TU,interacao,-15.208333333333334,-26.23217496210716,-4.184491704559507,12
TU,total,-120.64583333333333,-149.28600002914027,-92.00566663752639,12
TW,portao,-27.270833333333332,-45.51509052142652,-9.026576145240142,12
TW,rede,-110.22916666666667,-118.13436734766728,-102.32396598566606,12
TW,interacao,0.22916666666666666,-12.942040531446343,13.400373864779676,12
TW,total,-137.27083333333334,-154.0372042851327,-120.50446238153398,12
TR,portao,-6.733939481223029,-14.475635102713678,1.0077561402676212,12
TR,rede,-4.024045715863287,-10.301860510789096,2.253769079062522,12
TR,interacao,1.8257295149336266,-7.547676755512126,11.19913578537938,12
TR,total,-8.932255682152691,-12.854873669341027,-5.009637694964356,12
