ponto,K,metodo,observavel,media,Vsim,I
ponto=0,4,legado,taxa_omissao,0.0708333333333333,0.0001860119047619049,2.112900371434607
ponto=0,4,legado,atraso_relativo,2.037382779198636,0.002667776514215902,8.640134270298194
ponto=0,4,legado,retrabalho_sobre_plano,0.1276011362749179,0.0001003404672733539,5.257456098155963
ponto=0,4,legado,E_total,0.9100223083680282,1.686656549539275e-05,8.981707824806618
ponto=0,4,legado,maximo,,,8.981707824806618
ponto=0,4,pareada,taxa_omissao,0.0708333333333333,5.2083333333333343e-05,3.20749167543559
ponto=0,4,pareada,atraso_relativo,2.037382779198636,0.003177874124803444,7.955702655424805
ponto=0,4,pareada,retrabalho_sobre_plano,0.1276011362749179,0.00019547102828562578,4.233673518092178
ponto=0,4,pareada,E_total,0.9100223083680282,2.7885837003919592e-05,7.731283720979595
ponto=0,4,pareada,maximo,,,7.955702655424805
ponto=0,32,legado,taxa_omissao,0.0684895833333333,1.434595286320547e-05,4.324139393382324
ponto=0,32,legado,atraso_relativo,2.0789482097186704,0.0003185691782123436,22.61435533434524
ponto=0,32,legado,retrabalho_sobre_plano,0.1453413905913718,2.498202739150972e-05,5.187311324490755
ponto=0,32,legado,E_total,0.9008840371332012,6.288391780014087e-06,9.022285827578848
ponto=0,32,legado,maximo,,,22.61435533434524
ponto=0,32,pareada,taxa_omissao,0.0684895833333333,1.5923831625224014e-05,4.27253764602158
ponto=0,32,pareada,atraso_relativo,2.0789482097186704,0.00026623347983464505,23.91911156311576
ponto=0,32,pareada,retrabalho_sobre_plano,0.1453413905913718,3.58593046931344e-05,4.926596945858435
ponto=0,32,pareada,E_total,0.9008840371332012,9.172212270003585e-06,8.458584959937859
ponto=0,32,pareada,maximo,,,23.91911156311576
ponto=114,4,legado,taxa_omissao,0.13124999999999998,5.3943452380952355e-05,2.7305285762432128
ponto=114,4,legado,atraso_relativo,1.9001918158567777,0.0008080638478750417,10.318182417495786
ponto=114,4,legado,retrabalho_sobre_plano,0.3192295235420276,8.54585283468647e-05,9.625638482011178
ponto=114,4,legado,E_total,0.8198245766457678,1.2371485041428833e-05,7.651491947249303
ponto=114,4,legado,maximo,,,10.318182417495786
ponto=114,4,pareada,taxa_omissao,0.13124999999999998,8.535879629629628e-05,2.3943310144753007
ponto=114,4,pareada,atraso_relativo,1.9001918158567777,0.0008383019460548724,10.163001008563073
ponto=114,4,pareada,retrabalho_sobre_plano,0.3192295235420276,4.624067514277262e-05,11.071984993666995
ponto=114,4,pareada,E_total,0.8198245766457678,2.801224196412558e-06,9.521074487922789
ponto=114,4,pareada,maximo,,,11.071984993666995
ponto=114,32,legado,taxa_omissao,0.11249999999999996,2.039241622574956e-05,1.0880578144513098
ponto=114,32,legado,atraso_relativo,1.8906676257459505,0.0001734104529195539,16.827923973287295
ponto=114,32,legado,retrabalho_sobre_plano,0.3192428516946309,3.136756829934701e-05,11.821087739944057
ponto=114,32,legado,E_total,0.8187289904724215,5.48995065759657e-06,9.10691408721428
ponto=114,32,legado,maximo,,,16.827923973287295
ponto=114,32,pareada,taxa_omissao,0.11249999999999996,2.478158602150539e-05,1.0558995562817641
ponto=114,32,pareada,atraso_relativo,1.8906676257459505,0.00017238778051714403,16.852704295716684
ponto=114,32,pareada,retrabalho_sobre_plano,0.3192428516946309,2.9095574137766994e-05,11.949223587892371
ponto=114,32,pareada,E_total,0.8187289904724215,5.175283347764213e-06,9.17890063386062
ponto=114,32,pareada,maximo,,,16.852704295716684
ponto=171,4,legado,taxa_omissao,0.02499999999999996,2.9761904761904792e-05,8.739017021835364
ponto=171,4,legado,atraso_relativo,1.5037297527706734,0.0004966856548765024,2.8180667406292357
ponto=171,4,legado,retrabalho_sobre_plano,0.1259369920869271,0.0001574769104747108,4.675464070488988
ponto=171,4,legado,E_total,0.8871286440279162,5.9827179349110265e-05,3.189976994073693
ponto=171,4,legado,maximo,,,8.739017021835364
ponto=171,4,pareada,taxa_omissao,0.02499999999999996,4.629629629629634e-05,7.95842441157093
ponto=171,4,pareada,atraso_relativo,1.5037297527706734,0.00045992728670350464,2.898543761147278
ponto=171,4,pareada,retrabalho_sobre_plano,0.1259369920869271,0.00020994572462477057,4.2233556530260605
ponto=171,4,pareada,E_total,0.8871286440279162,5.907014641872264e-05,3.206314021420728
ponto=171,4,pareada,maximo,,,7.95842441157093
ponto=171,32,legado,taxa_omissao,0.03541666666666663,9.43838183421517e-06,8.766310976511283
ponto=171,32,legado,atraso_relativo,1.4819373401534528,0.0001406018423056321,5.340030383655435
ponto=171,32,legado,retrabalho_sobre_plano,0.12023794130775936,3.4854390813725933e-05,7.342629961250226
ponto=171,32,legado,E_total,0.8884887536589121,1.1074482642414422e-05,5.695958388277006
ponto=171,32,legado,maximo,,,8.766310976511283
ponto=171,32,pareada,taxa_omissao,0.03541666666666663,1.4140905017921155e-05,8.441856851795766
ponto=171,32,pareada,atraso_relativo,1.4819373401534528,0.00012686498554911847,5.4603408808871885
ponto=171,32,pareada,retrabalho_sobre_plano,0.12023794130775936,5.180322823516333e-05,6.834900253782225
ponto=171,32,pareada,E_total,0.8884887536589121,1.629337083574111e-05,5.1934614169674305
ponto=171,32,pareada,maximo,,,8.441856851795766
ponto=228,4,legado,taxa_omissao,0.031249999999999965,5.3943452380952355e-05,7.0504693088071
ponto=228,4,legado,atraso_relativo,1.5100809889173061,0.0006161021156303443,2.37069308606279
ponto=228,4,legado,retrabalho_sobre_plano,0.08195230182837668,0.00011181826491864646,8.432061204500249
ponto=228,4,legado,E_total,0.9156333755757139,3.8878343783108476e-05,7.658802050083365
ponto=228,4,legado,maximo,,,8.432061204500249
ponto=228,4,pareada,taxa_omissao,0.031249999999999965,7.378472222222224e-05,6.463650815723811
ponto=228,4,pareada,atraso_relativo,1.5100809889173061,0.0007622345520735467,2.177961542850987
ponto=228,4,pareada,retrabalho_sobre_plano,0.08195230182837668,0.0001299836042982602,8.050044484405214
ponto=228,4,pareada,E_total,0.9156333755757139,6.080874711551606e-05,6.450575160003288
ponto=228,4,pareada,maximo,,,8.050044484405214
ponto=228,32,legado,taxa_omissao,0.03854166666666664,9.490051807760134e-06,8.3593558758674
ponto=228,32,legado,atraso_relativo,1.5359148550724635,6.747012709790146e-05,2.6241936503277845
ponto=228,32,legado,retrabalho_sobre_plano,0.0803311259470465,1.7071447708693062e-05,12.175244061524662
ponto=228,32,legado,E_total,0.9137960862727068,6.719019625210831e-06,11.72409490933091
ponto=228,32,legado,maximo,,,12.175244061524662
ponto=228,32,pareada,taxa_omissao,0.03854166666666664,1.2845822132616484e-05,8.135227120861256
ponto=228,32,pareada,atraso_relativo,1.5359148550724635,6.412527044740782e-05,2.6425141380134374
ponto=228,32,pareada,retrabalho_sobre_plano,0.0803311259470465,2.5433306140832355e-05,11.658126441809472
ponto=228,32,pareada,E_total,0.9137960862727068,9.355342328782032e-06,11.061604680575988
ponto=228,32,pareada,maximo,,,11.658126441809472
ponto=285,4,legado,taxa_omissao,0.09374999999999997,0.00011842757936507943,0.7371524994153946
ponto=285,4,legado,atraso_relativo,1.8257459505541347,0.0027986109748395446,4.566580944206556
ponto=285,4,legado,retrabalho_sobre_plano,0.27183813539928947,0.0004284171332961685,3.3240499467542763
ponto=285,4,legado,E_total,0.8352706365107845,4.67764466447924e-05,3.104087820682343
ponto=285,4,legado,maximo,,,4.566580944206556
ponto=285,4,pareada,taxa_omissao,0.09374999999999997,0.00013165509259259264,0.7098962376713869
ponto=285,4,pareada,atraso_relativo,1.8257459505541347,0.0025521265995556448,4.768516017931272
ponto=285,4,pareada,retrabalho_sobre_plano,0.27183813539928947,0.0005350386847862956,3.0196973085969083
ponto=285,4,pareada,E_total,0.8352706365107845,8.942977931108516e-05,2.3846745318037987
ponto=285,4,pareada,maximo,,,4.768516017931272
ponto=285,32,legado,taxa_omissao,0.11041666666666664,1.9359016754850093e-05,0.8469602541704897
ponto=285,32,legado,atraso_relativo,1.8668664748508097,0.00024881467032783955,14.099406999001465
ponto=285,32,legado,retrabalho_sobre_plano,0.2798941308380679,2.739079169517481e-05,8.16215077128614
ponto=285,32,legado,E_total,0.8335014402233021,4.6795173642842055e-06,5.93587844192213
ponto=285,32,legado,maximo,,,14.099406999001465
ponto=285,32,pareada,taxa_omissao,0.11041666666666664,2.4641577060931893e-05,0.8166813159910721
ponto=285,32,pareada,atraso_relativo,1.8668664748508097,0.00024092174956934933,14.232688559024325
ponto=285,32,pareada,retrabalho_sobre_plano,0.2798941308380679,2.9681625099348415e-05,8.072467975008495
ponto=285,32,pareada,E_total,0.8335014402233021,6.099665637940943e-06,5.729151014742563
ponto=285,32,pareada,maximo,,,14.232688559024325
ponto=342,4,legado,taxa_omissao,0.04999999999999995,7.936507936507938e-05,4.678544831697682
ponto=342,4,legado,atraso_relativo,1.6115942028985506,0.0005321204800538399,1.3109615212518648
ponto=342,4,legado,retrabalho_sobre_plano,0.15851608318502575,0.000192385422185672,2.3679141715905843
ponto=342,4,legado,E_total,0.87322315550419,4.7743997595078004e-05,1.7247902285091732
ponto=342,4,legado,maximo,,,4.678544831697682
ponto=342,4,pareada,taxa_omissao,0.04999999999999995,0.0001504629629629631,3.761396450815958
ponto=342,4,pareada,atraso_relativo,1.6115942028985506,0.0008896789005828045,1.0682816090262777
ponto=342,4,pareada,retrabalho_sobre_plano,0.15851608318502575,0.00038700313493209796,1.8016079226770239
ponto=342,4,pareada,E_total,0.87322315550419,6.509501140616364e-05,1.5256546587979547
ponto=342,4,pareada,maximo,,,3.761396450815958
ponto=342,32,legado,taxa_omissao,0.05546874999999997,1.047931650958995e-05,6.12521391296112
ponto=342,32,legado,atraso_relativo,1.65241368286445,0.00013829750949609493,4.277858305400315
ponto=342,32,legado,retrabalho_sobre_plano,0.18503657091545042,5.2013669131741326e-05,1.082772286072166
ponto=342,32,legado,E_total,0.8630821145439119,1.3055103802328757e-05,0.6617330227693705
ponto=342,32,legado,maximo,,,6.12521391296112
ponto=342,32,pareada,taxa_omissao,0.05546874999999997,1.5346294662858426e-05,5.894801086088677
ponto=342,32,pareada,atraso_relativo,1.65241368286445,0.00014346779576275277,4.242946597502883
ponto=342,32,pareada,retrabalho_sobre_plano,0.18503657091545042,6.885007504512518e-05,1.0175021369112454
ponto=342,32,pareada,E_total,0.8630821145439119,1.5846404160511845e-05,0.630723013846984
ponto=342,32,pareada,maximo,,,5.894801086088677
ponto=399,4,legado,taxa_omissao,0.11874999999999997,0.0001432291666666665,1.1073832560294061
ponto=399,4,legado,atraso_relativo,2.125,0.006215581760707545,6.8584719819578
ponto=399,4,legado,retrabalho_sobre_plano,0.37625116283894355,0.00011409632342469229,13.01255852513326
ponto=399,4,legado,E_total,0.8134901600303339,2.717043019363557e-05,7.1299739148583186
ponto=399,4,legado,maximo,,,13.01255852513326
ponto=399,4,pareada,taxa_omissao,0.11874999999999997,0.00018952546296296293,0.9949130442141276
ponto=399,4,pareada,atraso_relativo,2.125,0.005485651724519705,7.287291037036196
ponto=399,4,pareada,retrabalho_sobre_plano,0.37625116283894355,4.682868787380936e-05,16.208419848794975
ponto=399,4,pareada,E_total,0.8134901600303339,2.0372032463214724e-05,7.791321035709588
ponto=399,4,pareada,maximo,,,16.208419848794975
ponto=399,32,legado,taxa_omissao,0.12421874999999998,2.5343045566027335e-05,2.3968597297274026
ponto=399,32,legado,atraso_relativo,2.1621936274509803,0.00039556299206346747,24.51837016103329
ponto=399,32,legado,retrabalho_sobre_plano,0.3977592773553351,5.8285215495097754e-05,17.358953728581994
ponto=399,32,legado,E_total,0.8061878984352522,8.24166730116247e-06,11.163208156524187
ponto=399,32,legado,maximo,,,24.51837016103329
ponto=399,32,pareada,taxa_omissao,0.12421874999999998,3.533257378472223e-05,2.2532151307930324
ponto=399,32,pareada,atraso_relativo,2.1621936274509803,0.0003400450330399496,25.806989104211283
ponto=399,32,pareada,retrabalho_sobre_plano,0.3977592773553351,6.173540436367246e-05,17.138775909992166
ponto=399,32,pareada,E_total,0.8061878984352522,6.898264461912411e-06,11.50591980968366
