parametro,calculado,publicado,diferenca,erro_relativo_pct,passa_terceira_casa
alpha,0.7540813924348031,0.7546,-0.0005186075651969491,-0.06872615494261103,False
beta,45.50858072012981,45.4563,0.05228072012980789,0.11501314477819768,False
