variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
A1ref,j6021_1.sm,3,centralizada,,0.2,False,0,16.0,0.9949033128466497,0,0.25,0.1
A1ref,j6021_1.sm,3,adaptativa,,0.2,True,0,3.0657894736842106,0.6153846153846154,162,0.9666666666666667,0.26666666666666666
A1ref,j6032_1.sm,0,centralizada,,0.2,False,0,16.0,0.9948816378758797,0,0.25,0.05
A1ref,j6032_1.sm,0,adaptativa,,0.2,False,0,16.0,0.9923377893707206,151,0.9883333333333333,0.18333333333333332
A1ref,j6032_1.sm,1,centralizada,,0.2,False,0,16.0,0.994861088806809,0,0.25,0.16666666666666666
A1ref,j6032_1.sm,1,adaptativa,,0.2,False,0,16.0,0.9921760391198045,141,0.9983333333333334,0.23333333333333334
A1ref,j6032_1.sm,2,centralizada,,0.2,False,0,16.0,0.9933235629376324,0,0.25,0.23333333333333334
A1ref,j6032_1.sm,2,adaptativa,,0.2,False,0,16.0,0.993090149445605,117,0.9666666666666667,0.11666666666666667
A1ref,j6032_1.sm,3,centralizada,,0.2,False,0,16.0,0.9951783992285439,0,0.25,0.08333333333333333
A1ref,j6032_1.sm,3,adaptativa,,0.2,False,0,16.0,0.9933473957488236,162,0.9666666666666667,0.16666666666666666
A1ref,j6043_1.sm,0,centralizada,,0.2,False,0,16.0,0.9954936501433839,0,0.25,0.1
A1ref,j6043_1.sm,0,adaptativa,,0.2,True,0,1.6481481481481481,0.25925925925925924,286,0.9966666666666667,0.31666666666666665
A1ref,j6043_1.sm,1,centralizada,,0.2,False,0,16.0,0.9954844006568144,0,0.25,0.2
A1ref,j6043_1.sm,1,adaptativa,,0.2,True,0,1.3796296296296295,0.16666666666666666,216,0.965,0.31666666666666665
A1ref,j6043_1.sm,2,centralizada,,0.2,False,0,16.0,0.9967663702506063,0,0.25,0.15
A1ref,j6043_1.sm,2,adaptativa,,0.2,True,0,1.4074074074074074,0.6363636363636364,208,0.9666666666666667,0.26666666666666666
A1ref,j6043_1.sm,3,centralizada,,0.2,False,0,16.0,0.9959058341862845,0,0.25,0.13333333333333333
A1ref,j6043_1.sm,3,adaptativa,,0.2,True,0,1.4074074074074074,0.34782608695652173,235,0.987694427897921,0.23333333333333334
A1ref,j6010_1.sm,0,centralizada,,0.3,False,0,16.0,0.9961180124223602,0,0.25,0.08333333333333333
A1ref,j6010_1.sm,0,adaptativa,,0.3,True,0,1.576470588235294,0.4827586206896552,148,0.9983333333333334,0.13333333333333333
A1ref,j6010_1.sm,1,centralizada,,0.3,False,0,16.0,0.994925178919974,0,0.25,0.1
A1ref,j6010_1.sm,1,adaptativa,,0.3,True,0,1.3176470588235294,0.0625,113,0.9666666666666667,0.15
A1ref,j6010_1.sm,2,centralizada,,0.3,False,0,16.0,0.9950436937524455,0,0.25,0.11666666666666667
A1ref,j6010_1.sm,2,adaptativa,,0.3,False,0,16.0,0.9922653382275826,150,0.9666666666666667,0.2
A1ref,j6010_1.sm,3,centralizada,,0.3,False,0,16.0,0.9963791542738911,0,0.25,0.06666666666666667
A1ref,j6010_1.sm,3,adaptativa,,0.3,False,0,16.0,0.9935956084172004,181,0.9666666666666667,0.16666666666666666
A1ref,j6021_1.sm,0,centralizada,,0.3,False,0,16.0,0.9944850201222238,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,0,adaptativa,,0.3,False,0,16.0,0.9948702916605598,68,0.9892333001205181,0.1
A1ref,j6021_1.sm,1,centralizada,,0.3,False,0,16.0,0.9947854588796186,0,0.25,0.1
A1ref,j6021_1.sm,1,adaptativa,,0.3,True,0,2.5,0.16666666666666666,82,0.9666666666666667,0.25
A1ref,j6021_1.sm,2,centralizada,,0.3,False,0,16.0,0.9943232745742456,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,2,adaptativa,,0.3,False,0,16.0,0.9926942000894587,79,0.9666666666666667,0.1
A1ref,j6021_1.sm,3,centralizada,,0.3,False,0,16.0,0.9949033128466497,0,0.25,0.1
A1ref,j6021_1.sm,3,adaptativa,,0.3,True,0,3.0657894736842106,0.6153846153846154,162,0.9666666666666667,0.26666666666666666
A1ref,j6032_1.sm,0,centralizada,,0.3,False,0,16.0,0.994880819068949,0,0.25,0.05
A1ref,j6032_1.sm,0,adaptativa,,0.3,False,0,16.0,0.9923465233675297,150,0.9883333333333333,0.18333333333333332
A1ref,j6032_1.sm,1,centralizada,,0.3,False,0,16.0,0.994861088806809,0,0.25,0.16666666666666666
A1ref,j6032_1.sm,1,adaptativa,,0.3,False,0,16.0,0.9921760391198045,141,0.9983333333333334,0.23333333333333334
A1ref,j6032_1.sm,2,centralizada,,0.3,False,0,16.0,0.9929715593331154,0,0.25,0.23333333333333334
A1ref,j6032_1.sm,2,adaptativa,,0.3,False,0,16.0,0.993090149445605,117,0.9666666666666667,0.11666666666666667
A1ref,j6032_1.sm,3,centralizada,,0.3,False,0,16.0,0.9941690962099126,0,0.25,0.15
A1ref,j6032_1.sm,3,adaptativa,,0.3,False,0,16.0,0.9933473957488236,162,0.9666666666666667,0.16666666666666666
A1ref,j6043_1.sm,0,centralizada,,0.3,False,0,16.0,0.9954936501433839,0,0.25,0.1
A1ref,j6043_1.sm,0,adaptativa,,0.3,True,0,1.4814814814814814,0.1044776119402985,280,1.0,0.21666666666666667
A1ref,j6043_1.sm,1,centralizada,,0.3,False,0,16.0,0.9954844006568144,0,0.25,0.2
A1ref,j6043_1.sm,1,adaptativa,,0.3,True,0,1.3796296296296295,0.16666666666666666,216,0.965,0.31666666666666665
A1ref,j6043_1.sm,2,centralizada,,0.3,False,0,16.0,0.9967663702506063,0,0.25,0.15
A1ref,j6043_1.sm,2,adaptativa,,0.3,True,0,1.3518518518518519,0.6,196,0.9583333333333334,0.26666666666666666
A1ref,j6043_1.sm,3,centralizada,,0.3,False,0,16.0,0.9959058341862845,0,0.25,0.13333333333333333
A1ref,j6043_1.sm,3,adaptativa,,0.3,True,0,1.4074074074074074,0.34782608695652173,235,0.987694427897921,0.23333333333333334
A1ref,j6010_1.sm,0,centralizada,,0.4,False,0,16.0,0.9961235301718568,0,0.25,0.06666666666666667
A1ref,j6010_1.sm,0,adaptativa,,0.4,True,0,1.5058823529411764,0.3333333333333333,146,1.0,0.08333333333333333
A1ref,j6010_1.sm,1,centralizada,,0.4,False,0,16.0,0.994925178919974,0,0.25,0.1
A1ref,j6010_1.sm,1,adaptativa,,0.4,True,0,1.3176470588235294,0.0625,113,0.9666666666666667,0.15
A1ref,j6010_1.sm,2,centralizada,,0.4,False,0,16.0,0.9950436937524455,0,0.25,0.11666666666666667
A1ref,j6010_1.sm,2,adaptativa,,0.4,False,0,16.0,0.9922653382275826,150,0.9666666666666667,0.2
A1ref,j6010_1.sm,3,centralizada,,0.4,False,0,16.0,0.9962406015037594,0,0.25,0.1
A1ref,j6010_1.sm,3,adaptativa,,0.4,False,0,16.0,0.9934417628541448,204,0.9666666666666667,0.18333333333333332
A1ref,j6021_1.sm,0,centralizada,,0.4,False,0,16.0,0.9941704035874439,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,0,adaptativa,,0.4,True,0,2.5,0.5348837209302325,102,0.9892333001205181,0.15
A1ref,j6021_1.sm,1,centralizada,,0.4,False,0,16.0,0.9944519418203629,0,0.25,0.15
A1ref,j6021_1.sm,1,adaptativa,,0.4,True,0,2.539473684210526,0.13043478260869565,78,0.9666666666666667,0.26666666666666666
A1ref,j6021_1.sm,2,centralizada,,0.4,False,0,16.0,0.9945103857566766,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,2,adaptativa,,0.4,False,0,16.0,0.9926942000894587,79,0.9666666666666667,0.1
A1ref,j6021_1.sm,3,centralizada,,0.4,False,0,16.0,0.9934250764525994,0,0.25,0.16666666666666666
A1ref,j6021_1.sm,3,adaptativa,,0.4,True,0,3.026315789473684,0.6103896103896104,156,0.9666666666666667,0.23333333333333334
A1ref,j6032_1.sm,0,centralizada,,0.4,False,0,16.0,0.994880819068949,0,0.25,0.05
A1ref,j6032_1.sm,0,adaptativa,,0.4,False,0,16.0,0.9921683798335781,144,0.9683333333333333,0.2
A1ref,j6032_1.sm,1,centralizada,,0.4,False,0,16.0,0.9946894110074026,0,0.25,0.18333333333333332
A1ref,j6032_1.sm,1,adaptativa,,0.4,False,0,16.0,0.9921760391198045,141,0.9983333333333334,0.23333333333333334
A1ref,j6032_1.sm,2,centralizada,,0.4,False,0,16.0,0.9929715593331154,0,0.25,0.23333333333333334
A1ref,j6032_1.sm,2,adaptativa,,0.4,False,0,16.0,0.9932562620423893,109,0.9666666666666667,0.1
A1ref,j6032_1.sm,3,centralizada,,0.4,False,0,16.0,0.9941690962099126,0,0.25,0.15
A1ref,j6032_1.sm,3,adaptativa,,0.4,False,0,16.0,0.9933473957488236,162,0.9666666666666667,0.16666666666666666
A1ref,j6043_1.sm,0,centralizada,,0.4,False,0,16.0,0.9954936501433839,0,0.25,0.1
A1ref,j6043_1.sm,0,adaptativa,,0.4,True,0,1.4814814814814814,0.1044776119402985,280,1.0,0.21666666666666667
A1ref,j6043_1.sm,1,centralizada,,0.4,False,0,16.0,0.9954844006568144,0,0.25,0.2
A1ref,j6043_1.sm,1,adaptativa,,0.4,True,0,1.3981481481481481,0.09090909090909091,192,0.9666666666666667,0.35
A1ref,j6043_1.sm,2,centralizada,,0.4,False,0,16.0,0.9962584690059663,0,0.25,0.11666666666666667
A1ref,j6043_1.sm,2,adaptativa,,0.4,True,0,1.3518518518518519,0.6,196,0.9583333333333334,0.26666666666666666
A1ref,j6043_1.sm,3,centralizada,,0.4,False,0,16.0,0.9956856702619414,0,0.25,0.16666666666666666
A1ref,j6043_1.sm,3,adaptativa,,0.4,True,0,1.4074074074074074,0.34782608695652173,235,0.987694427897921,0.23333333333333334
