variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F1,j6010_1.sm,0,centralizada,,0.1,True,0,2.0941176470588236,0.3877551020408163,0,0.25,0.26666666666666666
F1,j6010_1.sm,0,adaptativa,,0.1,True,0,1.5176470588235293,0.21052631578947367,169,0.9877255145520145,0.1
F1,j6010_1.sm,1,centralizada,,0.1,True,0,2.4823529411764707,0.5121951219512195,0,0.25,0.25
F1,j6010_1.sm,1,adaptativa,,0.1,True,0,1.7058823529411764,0.27710843373493976,133,0.9666666666666667,0.31666666666666665
F1,j6010_1.sm,2,centralizada,,0.1,True,0,3.0352941176470587,0.6907216494845361,0,0.25,0.2833333333333333
F1,j6010_1.sm,2,adaptativa,,0.1,True,0,1.7411764705882353,0.52,193,0.965,0.2833333333333333
F1,j6010_1.sm,3,centralizada,,0.1,True,0,3.0588235294117645,0.6129032258064516,0,0.25,0.23333333333333334
F1,j6010_1.sm,3,adaptativa,,0.1,True,0,1.8,0.4174757281553398,170,1.0,0.23333333333333334
F1,j6021_1.sm,0,centralizada,,0.1,True,0,3.210526315789474,0.40594059405940597,0,0.25,0.23333333333333334
F1,j6021_1.sm,0,adaptativa,,0.1,True,0,2.4210526315789473,0.3181818181818182,150,1.0,0.25
F1,j6021_1.sm,1,centralizada,,0.1,True,0,3.710526315789474,0.40594059405940597,0,0.25,0.2833333333333333
F1,j6021_1.sm,1,adaptativa,,0.1,True,0,2.776315789473684,0.4594594594594595,78,0.9666666666666667,0.2833333333333333
F1,j6021_1.sm,2,centralizada,,0.1,True,0,4.421052631578948,0.4782608695652174,0,0.25,0.3333333333333333
F1,j6021_1.sm,2,adaptativa,,0.1,True,0,2.486842105263158,0.3548387096774194,109,0.9666666666666667,0.2
F1,j6021_1.sm,3,centralizada,,0.1,True,0,3.486842105263158,0.5555555555555556,0,0.25,0.36666666666666664
F1,j6021_1.sm,3,adaptativa,,0.1,True,0,2.3947368421052633,0.5041322314049587,168,0.9666666666666667,0.23333333333333334
F1,j6032_1.sm,0,centralizada,,0.1,True,0,2.8840579710144927,0.620253164556962,0,0.25,0.31666666666666665
F1,j6032_1.sm,0,adaptativa,,0.1,True,0,1.9275362318840579,0.4957983193277311,122,0.9883333333333333,0.31666666666666665
F1,j6032_1.sm,1,centralizada,,0.1,True,0,3.7971014492753623,0.5945945945945946,0,0.25,0.31666666666666665
F1,j6032_1.sm,1,adaptativa,,0.1,True,0,1.855072463768116,0.3103448275862069,123,0.9616666666666666,0.2
F1,j6032_1.sm,2,centralizada,,0.1,True,0,3.0434782608695654,0.689119170984456,0,0.25,0.38333333333333336
F1,j6032_1.sm,2,adaptativa,,0.1,True,0,1.826086956521739,0.53125,141,0.9666666666666667,0.16666666666666666
F1,j6032_1.sm,3,centralizada,,0.1,True,0,3.971014492753623,0.6954314720812182,0,0.25,0.36666666666666664
F1,j6032_1.sm,3,adaptativa,,0.1,True,0,2.4782608695652173,0.6842105263157895,205,0.93,0.3333333333333333
F1,j6043_1.sm,0,centralizada,,0.1,True,0,1.7592592592592593,0.4642857142857143,0,0.25,0.2
F1,j6043_1.sm,0,adaptativa,,0.1,True,0,1.6481481481481481,0.2682926829268293,293,1.0,0.23333333333333334
F1,j6043_1.sm,1,centralizada,,0.1,True,0,1.8981481481481481,0.38144329896907214,0,0.25,0.23333333333333334
F1,j6043_1.sm,1,adaptativa,,0.1,True,0,1.4814814814814814,0.1891891891891892,253,0.9666666666666667,0.2
F1,j6043_1.sm,2,centralizada,,0.1,True,0,2.287037037037037,0.5918367346938775,0,0.25,0.2833333333333333
F1,j6043_1.sm,2,adaptativa,,0.1,True,0,1.5092592592592593,0.5555555555555556,173,0.9666666666666667,0.2833333333333333
F1,j6043_1.sm,3,centralizada,,0.1,True,0,2.2685185185185186,0.6449704142011834,0,0.25,0.3333333333333333
F1,j6043_1.sm,3,adaptativa,,0.1,True,0,1.5277777777777777,0.25925925925925924,292,0.9666666666666667,0.23333333333333334
F1,j6010_1.sm,0,centralizada,,0.2,True,0,2.552941176470588,0.2857142857142857,0,0.25,0.3
F1,j6010_1.sm,0,adaptativa,,0.2,True,0,1.576470588235294,0.1891891891891892,162,0.9877255145520145,0.15
F1,j6010_1.sm,1,centralizada,,0.2,True,0,2.7058823529411766,0.3684210526315789,0,0.25,0.31666666666666665
F1,j6010_1.sm,1,adaptativa,,0.2,True,0,1.4,0.0625,145,0.965,0.2
F1,j6010_1.sm,2,centralizada,,0.2,True,0,3.011764705882353,0.5652173913043478,0,0.25,0.26666666666666666
F1,j6010_1.sm,2,adaptativa,,0.2,True,0,1.6352941176470588,0.3103448275862069,162,0.9666666666666667,0.23333333333333334
F1,j6010_1.sm,3,centralizada,,0.2,True,0,2.3058823529411763,0.5121951219512195,0,0.25,0.25
F1,j6010_1.sm,3,adaptativa,,0.2,True,0,1.6941176470588235,0.38144329896907214,174,0.9983333333333334,0.3
F1,j6021_1.sm,0,centralizada,,0.2,True,0,4.105263157894737,0.3684210526315789,0,0.25,0.26666666666666666
F1,j6021_1.sm,0,adaptativa,,0.2,True,0,2.6315789473684212,0.2857142857142857,136,1.0,0.25
F1,j6021_1.sm,1,centralizada,,0.2,True,0,3.3684210526315788,0.4230769230769231,0,0.25,0.2
F1,j6021_1.sm,1,adaptativa,,0.2,True,0,2.4342105263157894,0.24050632911392406,83,0.9666666666666667,0.2
