replica,grupo,bloco,arquivo,semente,concluiu,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total
0,obs,0,j6010_1.sm,10000000,True,0.03333333333333333,1.6,0.17801715210023195,0.8675806373985709
0,obs,0,j6032_1.sm,10000001,True,0.11666666666666667,1.6666666666666667,0.22838150830704135,0.8350493120285819
0,obs,1,j6010_1.sm,10000002,True,0.13333333333333333,1.6352941176470588,0.25568745808680393,0.8248517106679883
0,obs,1,j6032_1.sm,10000003,True,0.03333333333333333,1.6521739130434783,0.193428516924202,0.8544300511972112
0,obs,2,j6010_1.sm,10000004,True,0.08333333333333333,1.6470588235294117,0.24533717608955044,0.8390247931675496
0,obs,2,j6032_1.sm,10000005,True,0.1,1.6666666666666667,0.23667061940976247,0.8479447677798236
0,obs,3,j6010_1.sm,10000006,True,0.06666666666666667,1.5294117647058822,0.15955294179333332,0.8681457950907273
0,obs,3,j6032_1.sm,10000007,True,0.08333333333333333,1.6521739130434783,0.1932886229336821,0.8703231072697565
0,obs,4,j6010_1.sm,10000008,True,0.08333333333333333,1.611764705882353,0.16302801673097925,0.885746076664307
0,obs,4,j6032_1.sm,10000009,True,0.1,1.6231884057971016,0.23060203684965497,0.8517644478739276
0,obs,5,j6010_1.sm,10000010,True,0.16666666666666666,1.588235294117647,0.2149896493757991,0.8448079660048421
0,obs,5,j6032_1.sm,10000011,True,0.08333333333333333,1.7246376811594204,0.23488487146324313,0.838706363514063
0,obs,6,j6010_1.sm,10000012,True,0.06666666666666667,1.6941176470588235,0.22804752885232404,0.8420543032860289
0,obs,6,j6032_1.sm,10000013,True,0.08333333333333333,1.6666666666666667,0.20283149968369488,0.8485410526538829
0,obs,7,j6010_1.sm,10000014,True,0.06666666666666667,1.6235294117647059,0.20093028429828547,0.8591057805362318
0,obs,7,j6032_1.sm,10000015,True,0.25,1.6666666666666667,0.20159603744254362,0.8618103691675912
0,obs,8,j6010_1.sm,10000016,True,0.08333333333333333,1.5176470588235293,0.20160609779196068,0.8520699099258929
0,obs,8,j6032_1.sm,10000017,True,0.08333333333333333,1.5942028985507246,0.22782295058375762,0.8572232424284854
0,obs,9,j6010_1.sm,10000018,True,0.05,1.6705882352941177,0.1916794905893383,0.8608488310672179
0,obs,9,j6032_1.sm,10000019,True,0.016666666666666666,1.608695652173913,0.1286367320347235,0.9003206378522927
0,sim,0,j6010_1.sm,10000020,True,0.11666666666666667,1.6470588235294117,0.23108032343367582,0.8518708998311083
0,sim,0,j6032_1.sm,10000021,True,0.06666666666666667,1.7536231884057971,0.24328830411833052,0.8485472149646562
0,sim,1,j6010_1.sm,10000022,True,0.08333333333333333,1.4705882352941178,0.21458149138817303,0.840553748970616
0,sim,1,j6032_1.sm,10000023,True,0.13333333333333333,1.7246376811594204,0.24904639882838311,0.8299506071570821
0,sim,2,j6010_1.sm,10000024,True,0.06666666666666667,1.5058823529411764,0.20272820432499986,0.855329164308912
0,sim,2,j6032_1.sm,10000025,True,0.08333333333333333,1.5217391304347827,0.1844401280922366,0.8616526289023145
0,sim,3,j6010_1.sm,10000026,True,0.11666666666666667,1.588235294117647,0.17914780108425354,0.8646830718833128
0,sim,3,j6032_1.sm,10000027,True,0.05,1.5507246376811594,0.1385757440584278,0.8869341710894151
1,obs,0,j6010_1.sm,10000028,True,0.1,1.7411764705882353,0.19084958552143075,0.869260962559037
1,obs,0,j6032_1.sm,10000029,True,0.08333333333333333,1.6521739130434783,0.2546711039809853,0.8210309894607624
1,obs,1,j6010_1.sm,10000030,True,0.05,1.5294117647058822,0.20552992953267088,0.8496707670716749
1,obs,1,j6032_1.sm,10000031,True,0.06666666666666667,1.5942028985507246,0.2195678545317642,0.8607463902752307
1,obs,2,j6010_1.sm,10000032,True,0.05,1.5176470588235293,0.16842971316802277,0.8691507705095188
1,obs,2,j6032_1.sm,10000033,True,0.15,1.6666666666666667,0.15427058023338114,0.8960982807840271
1,obs,3,j6010_1.sm,10000034,True,0.016666666666666666,1.6705882352941177,0.15191803974738718,0.8850712292512333
1,obs,3,j6032_1.sm,10000035,True,0.15,1.5797101449275361,0.20920410907077308,0.8546835332720705
1,obs,4,j6010_1.sm,10000036,True,0.1,1.6470588235294117,0.1721472173325106,0.8801239641921988
1,obs,4,j6032_1.sm,10000037,True,0.08333333333333333,1.5797101449275361,0.14305899882645476,0.8987575993812875
1,obs,5,j6010_1.sm,10000038,True,0.1,1.7058823529411764,0.16030227190523585,0.8762679787561464
1,obs,5,j6032_1.sm,10000039,True,0.08333333333333333,1.5797101449275361,0.25774562968986947,0.8329811468402825
1,obs,6,j6010_1.sm,10000040,True,0.05,1.6941176470588235,0.15211153534625696,0.8784632722078596
1,obs,6,j6032_1.sm,10000041,True,0.15,1.6521739130434783,0.2835559807977514,0.8328604745177403
1,obs,7,j6010_1.sm,10000042,True,0.06666666666666667,1.5294117647058822,0.15817657309797817,0.8797746930075554
1,obs,7,j6032_1.sm,10000043,True,0.15,1.5797101449275361,0.2249207123455905,0.8557842836682388
1,obs,8,j6010_1.sm,10000044,True,0.08333333333333333,1.588235294117647,0.1506820254128279,0.8724429244456587
1,obs,8,j6032_1.sm,10000045,True,0.11666666666666667,1.608695652173913,0.18208630794544914,0.8685983628992793
1,obs,9,j6010_1.sm,10000046,True,0.11666666666666667,1.5058823529411764,0.20890916786431413,0.8571777039199274
1,obs,9,j6032_1.sm,10000047,True,0.15,1.565217391304348,0.22365551938326916,0.8322474304583981
1,sim,0,j6010_1.sm,10000048,True,0.11666666666666667,1.5529411764705883,0.2681251596098533,0.8160738226452212
1,sim,0,j6032_1.sm,10000049,True,0.06666666666666667,1.608695652173913,0.18068124586973675,0.8762089633468436
1,sim,1,j6010_1.sm,10000050,True,0.18333333333333332,1.611764705882353,0.3009125110297307,0.807429365129528
1,sim,1,j6032_1.sm,10000051,True,0.06666666666666667,1.6376811594202898,0.19506292151047527,0.8551107674502174
1,sim,2,j6010_1.sm,10000052,True,0.05,1.6352941176470588,0.21545178766776754,0.8456794793825425
1,sim,2,j6032_1.sm,10000053,True,0.05,1.6376811594202898,0.18222721393792204,0.8531457874117235
1,sim,3,j6010_1.sm,10000054,True,0.1,1.576470588235294,0.226567713610529,0.8497247931123468
