tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.75,0.12,0.251,N_req,87.5,41.771363813553144,133.22863618644686,4
0.25,0.75,0.12,0.251,mu_rede_medio,0.8050933597092635,0.7153170881627086,0.8948696312558185,4
0.25,0.75,0.12,0.26,atraso_relativo,2.1362469027784012,1.1252195910446052,3.1472742145121972,4
0.25,0.75,0.12,0.26,taxa_omissao,0.07083333333333333,0.05459298003801662,0.08707368662865005,4
0.25,0.75,0.12,0.26,divida_latente_sobre_plano,0.021671567548280528,0.012621839111452123,0.030721295985108935,4
0.25,0.75,0.12,0.26,taxa_falha_efetiva,0.28020833333333334,0.26654003930776704,0.29387662735889963,4
0.25,0.75,0.12,0.26,fracao_porta1,0.4447916666666667,0.33340407275619877,0.5561792605771346,4
0.25,0.75,0.12,0.26,N_req,89.6875,46.13503266164786,133.23996733835213,4
0.25,0.75,0.12,0.26,mu_rede_medio,0.8142988484472161,0.7396726591352986,0.8889250377591337,4
0.25,0.75,0.12,0.27,atraso_relativo,2.0953004803497803,0.9529954690873566,3.237605491612204,4
0.25,0.75,0.12,0.27,taxa_omissao,0.07395833333333333,0.058292026584143494,0.08962464008252317,4
0.25,0.75,0.12,0.27,divida_latente_sobre_plano,0.021451995359326893,0.016129128941243652,0.026774861777410133,4
0.25,0.75,0.12,0.27,taxa_falha_efetiva,0.284375,0.195525935026281,0.37322406497371896,4
0.25,0.75,0.12,0.27,fracao_porta1,0.4291666666666667,0.3390688840953544,0.519264449237979,4
0.25,0.75,0.12,0.27,N_req,106.6875,51.48905003470184,161.88594996529815,4
0.25,0.75,0.12,0.27,mu_rede_medio,0.8228817618702331,0.7549999760387286,0.8907635477017376,4
0.25,0.75,0.12,0.3,atraso_relativo,2.1430676297343245,0.9696671903942959,3.316468069074353,4
0.25,0.75,0.12,0.3,taxa_omissao,0.058333333333333334,0.03294199698618204,0.08372466968048463,4
0.25,0.75,0.12,0.3,divida_latente_sobre_plano,0.020300830582913747,0.014057910491463118,0.026543750674364375,4
0.25,0.75,0.12,0.3,taxa_falha_efetiva,0.2677083333333333,0.19936686320550165,0.336049803461165,4
0.25,0.75,0.12,0.3,fracao_porta1,0.428125,0.32478974772737457,0.5314602522726254,4
0.25,0.75,0.12,0.3,N_req,108.5,56.99067854799109,160.00932145200892,4
0.25,0.75,0.12,0.3,mu_rede_medio,0.8433659966450049,0.7579896947117106,0.9287422985782992,4
0.25,0.75,0.12,0.35,atraso_relativo,2.0398347566842654,0.9858922559079195,3.0937772574606113,4
0.25,0.75,0.12,0.35,taxa_omissao,0.07395833333333333,0.04363575789111426,0.1042809087755524,4
0.25,0.75,0.12,0.35,divida_latente_sobre_plano,0.02677818079982016,0.008909138653397031,0.04464722294624329,4
0.25,0.75,0.12,0.35,taxa_falha_efetiva,0.2739583333333333,0.19161424343923739,0.3563024232274292,4
0.25,0.75,0.12,0.35,fracao_porta1,0.4239583333333333,0.3045705634267794,0.5433461032398872,4
0.25,0.75,0.12,0.35,N_req,113.25,60.67237351750792,165.82762648249206,4
0.25,0.75,0.12,0.35,mu_rede_medio,0.8496077411883325,0.7930943790406154,0.9061211033360496,4
0.25,0.75,0.12,0.4,atraso_relativo,2.0890095527786503,0.9454985638252198,3.2325205417320806,4
0.25,0.75,0.12,0.4,taxa_omissao,0.07083333333333333,0.05459298003801662,0.08707368662865005,4
0.25,0.75,0.12,0.4,divida_latente_sobre_plano,0.023577798926787824,0.014256222007641931,0.03289937584593372,4
0.25,0.75,0.12,0.4,taxa_falha_efetiva,0.284375,0.2653314977396365,0.3034185022603635,4
