tau,P,B,mu_cog,mu_rede
0.109,0.5,0.5,0.775,0.7846290354982148
0.11,0.5,0.5,0.775,0.7848119084201494
0.111,0.5,0.5,0.775,0.7850017603829168
0.112,0.5,0.5,0.775,0.7851923412530228
0.113,0.5,0.5,0.775,0.7853836552363328
0.114,0.5,0.5,0.775,0.7855757065711312
0.115,0.5,0.5,0.775,0.7857684995284362
0.116,0.5,0.5,0.775,0.7859682593964156
0.117,0.5,0.5,0.775,0.786168783549029
0.11800000000000001,0.5,0.5,0.775,0.786370076380932
0.11900000000000001,0.5,0.5,0.775,0.7865721423205382
0.12,0.5,0.5,0.775,0.786774985830342
0.121,0.5,0.5,0.775,0.7869847812301839
0.122,0.5,0.5,0.775,0.7871953763583608
0.123,0.5,0.5,0.775,0.7874067757963841
0.124,0.5,0.5,0.775,0.7876189841608285
0.125,0.5,0.5,0.775,0.787832006103667
0.126,0.5,0.5,0.775,0.7880519619005686
0.127,0.5,0.5,0.775,0.788272752894072
0.128,0.5,0.5,0.775,0.7884943838502267
0.129,0.5,0.5,0.775,0.7887168595714159
0.13,0.5,0.5,0.775,0.7889401848967009
0.131,0.5,0.5,0.775,0.7891704228971476
0.132,0.5,0.5,0.775,0.7894015315429895
0.133,0.5,0.5,0.775,0.7896335157821026
0.134,0.5,0.5,0.775,0.7898663805999253
0.135,0.5,0.5,0.775,0.7901001310198162
0.136,0.5,0.5,0.775,0.7903407696628295
0.137,0.5,0.5,0.775,0.7905823143343057
0.138,0.5,0.5,0.775,0.7908247701608268
0.139,0.5,0.5,0.775,0.7910681423077255
0.14,0.5,0.5,0.775,0.7913124359794507
0.14100000000000001,0.5,0.5,0.775,0.7915635900164082
0.14200000000000002,0.5,0.5,0.775,0.7918156853506958
0.14300000000000002,0.5,0.5,0.775,0.7920687272840652
0.14400000000000002,0.5,0.5,0.775,0.7923227211581578
0.145,0.5,0.5,0.775,0.7925776723548812
0.146,0.5,0.5,0.775,0.7928394525180242
0.147,0.5,0.5,0.775,0.7931022090824684
0.148,0.5,0.5,0.775,0.7933659475211691
0.149,0.5,0.5,0.775,0.7936306733480611
0.15,0.5,0.5,0.775,0.7938963921184434
0.151,0.5,0.5,0.775,0.7941689047782347
0.152,0.5,0.5,0.775,0.7944424287254935
0.153,0.5,0.5,0.775,0.7947169695999768
0.154,0.5,0.5,0.775,0.794992533083456
0.155,0.5,0.5,0.775,0.7952691249001074
0.156,0.5,0.5,0.775,0.7955524717116629
0.157,0.5,0.5,0.775,0.7958368644239449
0.158,0.5,0.5,0.775,0.7961223088386651
0.159,0.5,0.5,0.775,0.796408810800525
0.16,0.5,0.5,0.775,0.7966963761976145
0.161,0.5,0.5,0.775,0.7969906537364854
0.162,0.5,0.5,0.775,0.7972860114591673
0.163,0.5,0.5,0.775,0.7975824553240275
0.164,0.5,0.5,0.775,0.7978799913333366
0.165,0.5,0.5,0.775,0.7981786255336731
0.166,0.5,0.5,0.775,0.7984839249213246
0.167,0.5,0.5,0.775,0.7987903383863036
0.168,0.5,0.5,0.775,0.7990978720378774
0.169,0.5,0.5,0.775,0.7994065320300636
0.17,0.5,0.5,0.775,0.7997163245620404
0.171,0.5,0.5,0.775,0.8000327310814348
0.17200000000000001,0.5,0.5,0.775,0.8003502851206376
0.17300000000000001,0.5,0.5,0.775,0.8006689929335993
0.17400000000000002,0.5,0.5,0.775,0.8009888608197985
0.17500000000000002,0.5,0.5,0.775,0.8013098951246573
0.176,0.5,0.5,0.775,0.8016374878264219
0.177,0.5,0.5,0.775,0.8019662609759601
0.178,0.5,0.5,0.775,0.8022962209652287
0.179,0.5,0.5,0.775,0.8026273742324148
0.18,0.5,0.5,0.775,0.802959727262358
0.181,0.5,0.5,0.775,0.8032985785620907
0.182,0.5,0.5,0.775,0.8036386426576356
0.183,0.5,0.5,0.775,0.8039799260718122
0.184,0.5,0.5,0.775,0.8043224353743001
0.185,0.5,0.5,0.775,0.8046661771820606
0.186,0.5,0.5,0.775,0.8050163524494087
0.187,0.5,0.5,0.775,0.805367772213422
0.188,0.5,0.5,0.775,0.8057204431201825
0.189,0.5,0.5,0.775,0.8060743718631795
0.19,0.5,0.5,0.775,0.8064295651837342
0.191,0.5,0.5,0.775,0.8067911223239534
0.192,0.5,0.5,0.775,0.8071539549455108
0.193,0.5,0.5,0.775,0.8075180698096909
0.194,0.5,0.5,0.775,0.8078834737256523
0.195,0.5,0.5,0.775,0.8082501735508504
0.196,0.5,0.5,0.775,0.8086231625796468
0.197,0.5,0.5,0.775,0.8089974572876575
0.198,0.5,0.5,0.775,0.8093730645428616
0.199,0.5,0.5,0.775,0.8097499912614912
0.2,0.5,0.5,0.775,0.8101282444084561
0.201,0.5,0.5,0.775,0.8105127070209892
0.202,0.5,0.5,0.775,0.8108985046517164
0.203,0.5,0.5,0.775,0.811285644266361
0.20400000000000001,0.5,0.5,0.775,0.8116741328791901
0.20500000000000002,0.5,0.5,0.775,0.8120639775534397
0.20600000000000002,0.5,0.5,0.775,0.8124599466884619
0.20700000000000002,0.5,0.5,0.775,0.8128572792483307
0.20800000000000002,0.5,0.5,0.775,0.8132559822871313
0.209,0.5,0.5,0.775,0.8136560629076937
0.21,0.5,0.5,0.775,0.8140575282620168
0.211,0.5,0.5,0.775,0.814465027662215
0.212,0.5,0.5,0.775,0.8148739178869879
0.213,0.5,0.5,0.775,0.8152842060689832
0.214,0.5,0.5,0.775,0.815695899389704
0.215,0.5,0.5,0.775,0.8161090050799269
0.216,0.5,0.5,0.775,0.8165280488496205
0.217,0.5,0.5,0.775,0.8169485097611164
0.218,0.5,0.5,0.775,0.8173703950154256
0.219,0.5,0.5,0.775,0.8177937118624294
0.22,0.5,0.5,0.775,0.8182184676012956
