metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
atraso_relativo,ambos menos reporte,-0.4326144456230856,-0.4913901004700265,-0.3738387907761447,16
taxa_omissao,ambos menos reporte,-0.005815972222222224,-0.013602578328421346,0.001970633883976899,16
divida_latente_sobre_plano,ambos menos reporte,-0.003527158604502153,-0.006062751951034021,-0.0009915652579702847,16
taxa_falha_efetiva,ambos menos reporte,-0.03454861111111111,-0.048574831458383344,-0.020522390763838882,16
fracao_porta1,ambos menos reporte,-0.11901041666666667,-0.13869675627565703,-0.09932407705767632,16
