tau_min,p_reporte,p_deteccao,metrica,degrau_puro,amplitude_abaixo,amplitude_acima,vizinho_inferior,igualdade,vizinho_superior,salto_local
0.25,0.15,0.03,N_req,False,0.0,33.6875,0.0,0.0,109.6875,109.6875
0.25,0.15,0.03,atraso_relativo,False,0.4487080940309003,0.49647212749834235,3.0090263756150817,3.0090263756150817,2.7502159486347297,-0.25881042698035195
0.25,0.15,0.03,divida_latente_sobre_plano,False,0.011807580804816378,0.024646411842688634,0.09128964386347413,0.09128964386347413,0.07965033271933183,-0.011639311144142295
0.25,0.15,0.03,fracao_porta1,False,0.04062500000000002,0.09895833333333337,0.5385416666666667,0.5385416666666667,0.4395833333333333,-0.09895833333333337
0.25,0.15,0.03,mu_rede_medio,False,0.10736696141553881,0.09597575124535362,0.737481812314726,0.737481812314726,0.8525766137983475,0.1150948014836215
0.25,0.15,0.03,taxa_falha_efetiva,False,0.03854166666666664,0.04583333333333334,0.3072916666666667,0.3072916666666667,0.27708333333333335,-0.030208333333333337
0.25,0.15,0.03,taxa_omissao,False,0.033333333333333326,0.03541666666666665,0.26875,0.26875,0.23645833333333333,-0.03229166666666666
0.25,0.75,0.12,N_req,False,0.0,54.125,0.0,0.0,86.8125,86.8125
0.25,0.75,0.12,atraso_relativo,False,0.4192683795486163,0.3012044421760567,2.3750493249677187,2.3750493249677187,2.1055026472831697,-0.269546677684549
0.25,0.75,0.12,divida_latente_sobre_plano,False,0.009428555210839962,0.006477350216906413,0.024719574047413373,0.024719574047413373,0.020864432237978483,-0.00385514180943489
0.25,0.75,0.12,fracao_porta1,False,0.059374999999999956,0.06458333333333338,0.5416666666666667,0.5416666666666667,0.4541666666666667,-0.08750000000000002
0.25,0.75,0.12,mu_rede_medio,False,0.1096261679098427,0.11519726713565404,0.7085424954599038,0.7085424954599038,0.8041416180647452,0.09559912260484138
0.25,0.75,0.12,taxa_falha_efetiva,False,0.03229166666666661,0.024999999999999967,0.3145833333333333,0.3145833333333333,0.2833333333333333,-0.03125
0.25,0.75,0.12,taxa_omissao,False,0.021875000000000006,0.016666666666666663,0.07395833333333332,0.07395833333333332,0.07395833333333333,1.3877787807814457e-17
0.6,0.15,0.03,N_req,False,0.0,33.875,0.0,0.0,105.875,105.875
0.6,0.15,0.03,atraso_relativo,False,0.5988084265615732,0.38806516504389643,2.7092180356760043,2.7092180356760043,3.004061504464486,0.29484346878848156
0.6,0.15,0.03,divida_latente_sobre_plano,False,0.018959393895629686,0.013146364571749003,0.08295699841082574,0.08295699841082574,0.08106108029941239,-0.0018959181114133472
0.6,0.15,0.03,fracao_porta1,False,0.07708333333333328,0.07916666666666661,0.49687500000000007,0.49687500000000007,0.421875,-0.07500000000000007
0.6,0.15,0.03,mu_rede_medio,False,0.1831643957907455,0.040954127326368384,0.8114390392508222,0.8114390392508222,0.9105136838137525,0.09907464456293036
0.6,0.15,0.03,taxa_falha_efetiva,False,0.05312500000000003,0.02812500000000001,0.26458333333333334,0.26458333333333334,0.271875,0.007291666666666641
0.6,0.15,0.03,taxa_omissao,False,0.05104166666666665,0.033333333333333326,0.22916666666666666,0.22916666666666666,0.23958333333333331,0.010416666666666657
0.6,0.75,0.12,N_req,False,0.0,37.9375,0.0,0.0,103.9375,103.9375
0.6,0.75,0.12,atraso_relativo,False,0.5658695994924798,0.15409764910286516,2.1296841114401523,2.1296841114401523,1.9546619728491446,-0.1750221385910078
0.6,0.75,0.12,divida_latente_sobre_plano,False,0.011106846220390463,0.008022706508112376,0.02608391454067036,0.02608391454067036,0.021011785370635555,-0.005072129170034804
0.6,0.75,0.12,fracao_porta1,False,0.10833333333333328,0.03749999999999998,0.490625,0.490625,0.42604166666666665,-0.06458333333333333
0.6,0.75,0.12,mu_rede_medio,False,0.16696153595739138,0.05643700504237137,0.7658778635074525,0.7658778635074525,0.8631519984017177,0.09727413489426529
0.6,0.75,0.12,taxa_falha_efetiva,False,0.057291666666666685,0.012500000000000011,0.26249999999999996,0.26249999999999996,0.26458333333333334,0.0020833333333333814
0.6,0.75,0.12,taxa_omissao,False,0.034374999999999996,0.02291666666666667,0.06041666666666667,0.06041666666666667,0.06666666666666667,0.006249999999999999
