incremento_base,fator_transferencia,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias
15.0,3.0,atraso_relativo,observado,192,192,0,COMPLETO,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16
15.0,3.0,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16
15.0,3.0,taxa_omissao,observado,192,192,0,COMPLETO,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16
15.0,3.0,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16
15.0,3.0,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16
15.0,3.0,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16
15.0,3.0,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
15.0,3.0,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
15.0,3.0,fracao_porta1,observado,192,192,0,COMPLETO,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
15.0,3.0,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
15.0,6.0,atraso_relativo,observado,192,192,0,COMPLETO,-1.0274798782695536,-1.1142465758854976,-0.9407131806536095,16
15.0,6.0,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.0274798782695536,-1.1142465758854976,-0.9407131806536095,16
15.0,6.0,taxa_omissao,observado,192,192,0,COMPLETO,-0.23203125000000002,-0.2457324340867587,-0.21833006591324133,16
15.0,6.0,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.23203125000000002,-0.2457324340867587,-0.21833006591324133,16
15.0,6.0,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.076968814535715,-0.08601842195528431,-0.06791920711614569,16
15.0,6.0,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.076968814535715,-0.08601842195528431,-0.06791920711614569,16
15.0,6.0,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.048003472222222225,-0.0628051280849354,-0.033201816359509057,16
15.0,6.0,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.048003472222222225,-0.0628051280849354,-0.033201816359509057,16
15.0,6.0,fracao_porta1,observado,192,192,0,COMPLETO,-0.1212673611111111,-0.14452809921207443,-0.09800662301014777,16
15.0,6.0,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.1212673611111111,-0.14452809921207443,-0.09800662301014777,16
22.5,1.5,atraso_relativo,observado,192,192,0,COMPLETO,-1.0698266534731333,-1.1554238667533878,-0.9842294401928788,16
22.5,1.5,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.0698266534731333,-1.1554238667533878,-0.9842294401928788,16
22.5,1.5,taxa_omissao,observado,192,192,0,COMPLETO,-0.2318576388888889,-0.2450759227539052,-0.21863935502387263,16
22.5,1.5,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.2318576388888889,-0.2450759227539052,-0.21863935502387263,16
22.5,1.5,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.08001633612809998,-0.08868908823279942,-0.07134358402340055,16
22.5,1.5,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.08001633612809998,-0.08868908823279942,-0.07134358402340055,16
22.5,1.5,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.058854166666666666,-0.06993365351295538,-0.047774679820377954,16
22.5,1.5,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.058854166666666666,-0.06993365351295538,-0.047774679820377954,16
22.5,1.5,fracao_porta1,observado,192,192,0,COMPLETO,-0.14548611111111112,-0.1690769655541707,-0.12189525666805152,16
22.5,1.5,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.14548611111111112,-0.1690769655541707,-0.12189525666805152,16
22.5,3.0,atraso_relativo,observado,192,192,0,COMPLETO,-1.0741840365417352,-1.1605592609643292,-0.9878088121191413,16
22.5,3.0,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.0741840365417352,-1.1605592609643292,-0.9878088121191413,16
22.5,3.0,taxa_omissao,observado,192,192,0,COMPLETO,-0.2292534722222222,-0.24185805172384855,-0.21664889272059584,16
