incremento_base,fator_transferencia,cenario,metrica,estimando,antes,depois,estatuto,media,ic95_inf,ic95_sup,N_instancias
7.5,3.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
7.5,3.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
7.5,3.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
7.5,3.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,adaptativa,atraso_relativo,observado,2.0373813983341833,2.0545028438431325,COMPLETO,0.017121445508949153,-0.005983038588424659,0.040225929606322965,16
7.5,6.0,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,2.0545028438431325,COMPLETO,0.017121445508949153,-0.005983038588424659,0.040225929606322965,16
7.5,6.0,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08385416666666667,COMPLETO,-0.0004340277777777784,-0.006259713270065035,0.005391657714509477,16
7.5,6.0,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08385416666666667,COMPLETO,-0.0004340277777777784,-0.006259713270065035,0.005391657714509477,16
7.5,6.0,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.0255315605372706,COMPLETO,7.395211303803598e-05,-0.0018492953343254579,0.0019971995604015297,16
7.5,6.0,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.0255315605372706,COMPLETO,7.395211303803598e-05,-0.0018492953343254579,0.0019971995604015297,16
7.5,6.0,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.3171006944444445,COMPLETO,-0.0018229166666666643,-0.011128482394922241,0.007482649061588913,16
7.5,6.0,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.3171006944444445,COMPLETO,-0.0018229166666666643,-0.011128482394922241,0.007482649061588913,16
7.5,6.0,adaptativa,fracao_porta1,observado,0.5204861111111111,0.5513020833333333,COMPLETO,0.030815972222222224,0.017759594254959953,0.043872350189484495,16
7.5,6.0,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.5513020833333333,COMPLETO,0.030815972222222224,0.017759594254959953,0.043872350189484495,16
7.5,6.0,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,taxa_falha_efetiva,observado,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,taxa_falha_efetiva,pares_completos,0.3619791666666667,0.3619791666666667,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,fracao_porta1,observado,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
7.5,6.0,centralizada,fracao_porta1,pares_completos,0.6369791666666668,0.6369791666666668,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,adaptativa,atraso_relativo,observado,2.0373813983341833,2.030969743048612,COMPLETO,-0.006411655285571028,-0.02774903718504071,0.014925726613898654,16
15.0,1.5,adaptativa,atraso_relativo,pares_completos,2.0373813983341833,2.030969743048612,COMPLETO,-0.006411655285571028,-0.02774903718504071,0.014925726613898654,16
15.0,1.5,adaptativa,taxa_omissao,observado,0.08428819444444445,0.08697916666666666,COMPLETO,0.002690972222222222,-0.0032202696021670736,0.008602214046611517,16
15.0,1.5,adaptativa,taxa_omissao,pares_completos,0.08428819444444445,0.08697916666666666,COMPLETO,0.002690972222222222,-0.0032202696021670736,0.008602214046611517,16
15.0,1.5,adaptativa,divida_latente_sobre_plano,observado,0.02545760842423257,0.026234969209610156,COMPLETO,0.0007773607853775885,-0.00037214691684336963,0.0019268684875985466,16
15.0,1.5,adaptativa,divida_latente_sobre_plano,pares_completos,0.02545760842423257,0.026234969209610156,COMPLETO,0.0007773607853775885,-0.00037214691684336963,0.0019268684875985466,16
15.0,1.5,adaptativa,taxa_falha_efetiva,observado,0.3189236111111111,0.3199652777777778,COMPLETO,0.0010416666666666669,-0.0052119560257045516,0.007295289359037886,16
15.0,1.5,adaptativa,taxa_falha_efetiva,pares_completos,0.3189236111111111,0.3199652777777778,COMPLETO,0.0010416666666666669,-0.0052119560257045516,0.007295289359037886,16
15.0,1.5,adaptativa,fracao_porta1,observado,0.5204861111111111,0.5277777777777778,COMPLETO,0.007291666666666664,-0.005137970522095573,0.0197213038554289,16
15.0,1.5,adaptativa,fracao_porta1,pares_completos,0.5204861111111111,0.5277777777777778,COMPLETO,0.007291666666666664,-0.005137970522095573,0.0197213038554289,16
15.0,1.5,centralizada,atraso_relativo,observado,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,atraso_relativo,pares_completos,3.0608024318896923,3.0608024318896923,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,taxa_omissao,observado,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,taxa_omissao,pares_completos,0.3125,0.3125,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,divida_latente_sobre_plano,observado,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
15.0,1.5,centralizada,divida_latente_sobre_plano,pares_completos,0.10327218484475538,0.10327218484475538,COMPLETO,0.0,0.0,0.0,16
